MESS_ARCHIVE_E000


Message Name: Message


MCID_E000: 最も強き者の名
MID_E000_戦いをやめる？_N9: $t1$Wm行商人|3$w0|$Ws行商人|$Wa$E笑,|$SvpSE_VOICE_ANNA_WIN_2|それじゃ、\n最後の戦いを始めましょう。$k$p$Eキメ,|最後の対戦相手は、私。\nお手柔らかにね。$k$p時間は、私が７数えるまで。\nお互い全力を尽くしましょう。$k
MID_E000_裏面に行く？: 裏の五連闘を始める？
MID_E000_残りターン数1: 最終ターン
MID_E000_残りターン数2: 残り２ターン
MID_E000_残りターン数3: 残り３ターン
MID_E000_残りターン数4: 残り４ターン
MID_E000_残りターン数5: 残り５ターン
MID_E000_残りターン数6: 残り６ターン
MID_E000_残りターン数7: 残り７ターン
MID_E000_残りターン数8: 残り８ターン
MID_E000_残りターン数9: 残り９ターン
MID_E000_残りターン数10: 残り１０ターン
MID_E000_ターン制限: $t1$Wm行商人|3$w0|$Ws行商人|$Wa$E苦,|$SvpSE_VOICE_ANNA_EVT_6|残念。時間切れよ。\nまた挑戦してね。$k
