MESS_ARCHIVE_E000


Message Name: Message


MCID_E000: 生と死の境に
MID_E000_DIE_スナイパー: $t0$Wmスナイパー男|2$w0|$Wsスナイパー男|$Wa$E屍,|……コレ…デ……$k
MID_E000_DIE_ソーサラー: $t0$Wmソーサラー男|2$w0|$Wsソーサラー男|$Wa$E屍,|………………$k
MID_E000_DIE_ソードマスター: $t0$Wmソードマスター男|2$w0|$Wsソードマスター男|$Wa$E屍,|……レイ…ヲ……$k
MID_E000_DIE_ウォーリアー: $t0$Wmウォーリアー男|2$w0|$Wsウォーリアー男|$Wa$E屍,|……ヨカ…ッタ……$k
MID_E000_DIE_バーサーカー: $t0$Wmバーサーカー男|2$w0|$Wsバーサーカー男|$Wa$E屍,|……アア……$k
MPID_アサシン男: 屍兵
MPID_勇者男: 屍兵
MPID_スナイパー男: 屍兵
MPID_ソーサラー男: 屍兵
MPID_ソードマスター男: 屍兵
MPID_ウォーリアー男: 屍兵
MPID_バーサーカー男: 屍兵
MID_E000_EV_ターン警告: $t0$Wm021_ボス|2$w0|$Ws021_ボス|$Wa$SvpSE_VOICE_BOSS1_EVT_3|さて、ではゆっくりと\n見物させてもらおうか。$k$pもっとも、私は自分で戦う気はないがね。\n頃合いを見て、ここを立ち去るとしよう。$k
MID_E000_EV_TUT: １０ターン以内に敵将を倒して\n勝利すると、\n最も良い勝利結果となります。
MID_E000_EV_ボス離脱: $t0$Wm021_ボス|2$w0|$Ws021_ボス|$Wa$E苦,|$SvpSE_VOICE_BOSS1_DAMAGE_2|これ以上留まるのは危険だな。\nこの神殿を放棄するのは残念だが…$k$pお前たちは手強い。\n私はここで失礼させてもらおう。$k
MID_E000_EV_ボス離脱_2: $t0$Wmフレデリク|0$w0|$Wsフレデリク|$Wa$E怒,|$SvpSE_VOICE_FREDERIK_EVT_5|クロム様、\n敵将が逃亡しました。$k\n$Wmクロム|6$w0|$Wsクロム|$Wa$E苦,汗|$SvpSE_VOICE_CHROM_EVT_20|くそっ！\nあの男が元凶だというのに！$k\n$Wsフレデリク|$Wa$Eキメ,|$SvpSE_VOICE_FREDERIK_EVT_6|残念ですが、止むを得ません。\n残る敵を掃討しましょう。$k
MID_E000_ED1_BAD: $t1$Wmクロム|3$Wmフレデリク|7$Wsフレデリク|$Wa$E怒,|$SvpSE_VOICE_FREDERIK_EVT_8|クロム様。神殿内を捜索しましたが、\n敵将の姿は見つかりませんでした。$k\n$Wsクロム|$Wa$E怒,|$SvpSE_VOICE_CHROM_EVT_35|くそっ…逃がしたか。\nこれではまた新たな犠牲者が…$k\n$Wsフレデリク|$Wa$E通常,|$SvpSE_VOICE_FREDERIK_EVT_11|いえ、あの男が屍兵を創り出すには、\nこの地下神殿での儀式が必要なようです。$k$pこの神殿を破壊しておけば、\nあの男の企みは阻止できたといえます。$k$p$Eキメ,|犠牲者たちの仇を討てなかったのは\n無念ですが…今は先を急ぎましょう。$k
MID_E000_ED1: $t1$Wmクロム|3$Wmフレデリク|7$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_11|終わった…ようだな。$k\n$Wsフレデリク|$Wa$Eキメ,|$SvpSE_VOICE_FREDERIK_EVT_15|ええ。これでもうこれ以上、\n人々が犠牲になることはありません。$k\n$Wsクロム|$Wa$E怒,|…………$k\n$Wsフレデリク|$Wa$E通常,|$SvpSE_VOICE_FREDERIK_EVT_13|クロム様？$k\n$Wsクロム|$Wa$E苦,汗|$SvpSE_VOICE_CHROM_EVT_35|確かに、奴の企みを\n止めることはできた。$k$pだが、犠牲となった人々を\n救うことはできなかった…$k\n$Wsフレデリク|$Wa$E怒,|$SvpSE_VOICE_FREDERIK_EVT_6|クロム様…\n悔やむお気持ちはわかります。$k$p$Eキメ,|しかし、我々がこの異界に来た時にはもう、\n彼らは殺されていたようです。$k$pつらいことですが…\n救うことは不可能でした。$k\n$Wsクロム|$Wa$E怒,|$SvpSE_VOICE_CHROM_EVT_6|…そうかもしれん。\nだが…悔やみ切れない。$k$p俺がもっと早く来ていれば、\nもしかしたら彼らは…$k\n$Wsフレデリク|$Wa$E通常,|$SvpSE_VOICE_FREDERIK_EVT_8|クロム様…$k$p『すべての人々を救いたい』…\nクロム様のお気持ちは尊いものです。$k$pかの伝説の英雄王も\nそのような理想を抱いていたとか。$k$p$E怒,|ですが、クロム様。\nどうかお気をつけください。$k$p『すべての人々を救う』…\nそんなことは人間には不可能です。$k\n$Wsクロム|$Wa…………$k\n$Wsフレデリク|$Wa$E通常,|$SvpSE_VOICE_FREDERIK_EVT_9|たとえクロム様が最善を尽くしても、\n救えない命はどうしても出てしまいます。$k$pそれは仕方のないこと。\n無理にでもそうお考えください。でないと…$k$p$E怒,|あなたはいずれ、自分が背負う\n理想の重さに潰されてしまうでしょう…$k\n$Wsクロム|$Wa$E通常,|$SvpSE_VOICE_CHROM_EVT_34|…フレデリク。$k$p$E笑,|すまない。俺を心配してくれるのか…\nたまにはまともなことも言うんだな。$k\n$Wsフレデリク|$Wa$Eキメ,|$SvpSE_VOICE_FREDERIK_EVT_27|恐縮です。$k$p$E笑,|…ただ、『たまには』というのは\n余計ですよ、クロム様。$k
MID_E000_ED2: $t1$Wmクロム|3$Wmリズ|7$Wsリズ|$Wa$Eキメ,|$SvpSE_VOICE_LIZ_EVT_26|お兄ちゃん、$Nuさんが\n中でこれ見つけたって。$k\n$Wsクロム|$Wa$E怒,|$SvpSE_VOICE_CHROM_EVT_12|これは…魔符のようだな。\n【白騎の末妹エスト】か…$k\n$Wsリズ|$Wa$E通常,|$SvpSE_VOICE_LIZ_EVT_9|え？　妹？\nわたしよりかわいいのかな？$k\n$Wsクロム|$Wa$E通常,|$SvpSE_VOICE_CHROM_EVT_11|それは知らんが、\n貴重な戦力になってくれそうだな。$k
MID_E000_BT_プレイヤー男_PCM1: $t0$Wmusername|6$w0|$Wsusername|$Wa$E苦,汗|$SvpSE_VOICE_PLAYER_M#_EVT_11|あのトゲ、厄介だな…\n長く留まると大怪我をしてしまう。$k$p体力の減った仲間がやられないよう、\nうまく指示を出さないと。$k$pこれ以上犠牲者を増やすだなんてこと\n絶対にさせないぞ…！$k
MID_E000_BT_プレイヤー男_PCM2: $t0$Wmusername|6$w0|$Wsusername|$Wa$E苦,汗|$SvpSE_VOICE_PLAYER_M#_EVT_11|あのトゲ、厄介だね…\n長く留まると大怪我をしてしまう。$k$p体力の減った仲間がやられないよう、\nうまく指示を出さないと。$k$pこれ以上犠牲者を増やすだなんてこと\n絶対にさせない…！$k
MID_E000_BT_プレイヤー男_PCM3: $t0$Wmusername|6$w0|$Wsusername|$Wa$E怒,|………！！$k
MID_E000_BT_プレイヤー女_PCF1: $t0$Wmusername|6$w0|$Wsusername|$Wa$E苦,汗|$SvpSE_VOICE_PLAYER_F#_EVT_11|あのトゲ、厄介ね…\n長く留まると大怪我をしてしまうわ。$k$p体力の減った仲間がやられないよう、\nうまく指示を出さないと。$k$pこれ以上犠牲者を増やすだなんてこと\n絶対にさせないわ…！$k
MID_E000_BT_プレイヤー女_PCF2: $t0$Wmusername|6$w0|$Wsusername|$Wa$E苦,汗|$SvpSE_VOICE_PLAYER_F#_EVT_11|あのトゲ、厄介ですね…\n長く留まると大怪我をしてしまいます。$k$p体力の減った仲間がやられないよう、\nうまく指示を出さないといけません。$k$pこれ以上犠牲者を増やすだなんてことは\n絶対にさせません…！$k
MID_E000_BT_プレイヤー女_PCF3: $t0$Wmusername|6$w0|$Wsusername|$Wa$E怒,|………！！$k
MID_E000_BT_クロム: $t0$Wmクロム|6$w0|$Wsクロム|$Wa$E怒,|$SvpSE_VOICE_CHROM_EVT_35|できることなら、お前たちを\n元の姿のままで逃がしてやりたかった。$k$pだが屍兵となった以上、元には戻らない。\nここから出してやることもできない…$k$p$E苦,|すまない…俺たちがもう少し早く、\nこの場所に来ることができていれば…！$k
MID_E000_BT_フレデリク: $t0$Wmフレデリク|6$w0|$Wsフレデリク|$Wa$E怒,|$SvpSE_VOICE_FREDERIK_EVT_6|こんなに凶悪な足場の戦場は\n生まれて初めてですね。$k$p皆様が傷つくのを黙って見ているしか\nないだなんて、なんたる屈辱でしょうか。$k$p$Eキメ,|できることならこの場のトゲを全て\nへし折って回りたいほどです…$k
MID_E000_BT_ソール: $t0$Wmソール|6$w0|$Wsソール|$Wa$E怒,|$SvpSE_VOICE_SORT_EVT_15|今からすることは屍兵の退治と同じ。\nでも…僕は君たちを救うつもりで戦う。$k$p君を倒すことで、君が苦しみから\n解放されるんだと信じて戦うよ。$k$pそうでもしないと…この戦いは辛すぎる。\nみんな傷ついて終わることになるから…$k
MID_E000_BT_カラム: $t0$Wmカラム|6$w0|$Wsカラム|$Wa$SvpSE_VOICE_KARM_EVT_2|さすが暗殺用に創られただけあって…\n君には僕がちゃんと見えるんだね…$k$p$E苦,汗|普段なら見つかって嬉しいけど…\n今回ばかりは喜べそうにないよ…$k$pもう無理して動き続けなくていいから…\nゆっくり休んでほしいな…$k
MID_E000_BT_リヒト: $t0$Wmリヒト|6$w0|$Wsリヒト|$Wa$E苦,汗|$SvpSE_VOICE_LICHT_EVT_7|この人たち、\nもう助けてあげられないんだね…$k$p屍兵を人間に戻せる魔法があれば\nみんなを助けてあげられたのに…$k$pせっかく乗り込んできたのに、\n倒すことしかできなくて…ごめんなさい。$k
MID_E000_BT_ヴェイク: $t0$Wmヴェイク|6$w0|$Wsヴェイク|$Wa$E苦,汗|$SvpSE_VOICE_WYCK_EVT_14|こいつらは今まで戦ってきた屍兵とは違う。\nできれば戦いたくねえが…$k$pこれ以上こいつらが苦しむなら\nひと思いに倒してやるべき…なんだよな。$k$pくそ…今日の戦いだけは\n勝っても全然喜べそうにねぇ…$k
MID_E000_BT_リベラ: $t0$Wmリベラ|6$w0|$Wsリベラ|$Wa$SvpSE_VOICE_RIVIERA_EVT_9|例え生ける屍に成り果てようとも、\n貴方の魂は無垢で美しいままです…$k$p暗殺者として望まぬ殺生を行う前に、\n私が止めて差し上げましょう。$k$p$Eキメ,|神よ…どうかこの者たちを\n貴方様の御許までお導き下さい…$k
MID_E000_BT_ロンクー: $t0$Wmロンクー|6$w0|$Wsロンクー|$Wa$E苦,汗|$SvpSE_VOICE_RONKUU_EVT_13|…罪も無い者が犠牲になる光景は\n何度見ても気分が悪い。$k$p戦場では平気だと思っていたのに、\n手が震えるとはまだまだだな…$k$pこいつらを倒して、早く\n終わりにせねばならんのに…$k
MID_E000_BT_グレゴ: $t0$Wmグレゴ|6$w0|$Wsグレゴ|$Wa$E苦,汗|$SvpSE_VOICE_GREGO_EVT_2|この屍兵たちを倒せってのかー？\nなかなかきっつい仕事が来たもんだ。$k$pもう助からない傷を負った仲間を\n楽にしてやる時と同じ気分だぜ…$k$p$E通常,|ま、相手に自我が無い分やりやすいが、\n今日は夢見が悪そうだな…$k
MID_E000_BT_ガイア: $t0$Wmガイア|6$w0|$Wsガイア|$Wa$E苦,汗|$SvpSE_VOICE_GUIRE_EVT_9|なんつー陰惨な場所なんだよ…\n血の匂いが濃くて気が滅入る。$k$p俺が昔入れられた監獄だって\nここよりはマシな場所だったぜ。$k$p$E怒,|…お前ら、こんな場所で辛かっただろ。\n俺がすぐに…楽にしてやるからな。$k
MID_E000_BT_ヴィオール: $t0$Wmヴィオール|6$w0|$Wsヴィオール|$Wa$SvpSE_VOICE_VIAUR_EVT_10|全員屍兵と化しているのは残念だが…\n私たちがこの地に乗り込んだことで$k$pこれから出る犠牲者を\nなくすことはできそうだね。$k$p$E苦,|そう…我々がここに来た意味はあった。\nそう考えないと…やっていられないよ。$k
MID_E000_BT_ヘンリー: $t0$Wmヘンリー|6$w0|$Wsヘンリー|$Wa$Eキメ,|$SvpSE_VOICE_HENRI_EVT_4|気のせいかなぁ～この場所のトゲトゲ、\n僕のいた施設にあったのとそっくりだ～。$k$p悪い事すると、こういう床に放置されたなぁ。\n死にはしなかったから、まだマシだけど…$k$p$E通常,|痛いのは嫌だよね。僕も痛いの嫌い。\nだから…何も感じないよう倒してあげる。$k
MID_E000_BT_ドニ: $t0$Wmドニ|6$w0|$Wsドニ|$Wa$E怒,汗|$SvpSE_VOICE_DENIS_EVT_2|一面の野菜畑は見たことあるけんど、\n床一面のトゲ畑は始めてみるべ。$k$p異界にはこんなおっかない場所が\nあるんだべか！？$k$p$E苦,|なんだかおらたち、生きて帰れるのか\n心配になってきたべ…$k
MID_E000_BT_スミア: $t0$Wmスミア|6$w0|$Wsスミア|$Wa$E怒,|$SvpSE_VOICE_SMIA_EVT_19|私たち…来るのが遅すぎたんですね。\n生きている人がもういないなんて…$k$pもしもの話をいくらしたって\n意味が無い事はわかっています…でも、$k$p$E苦,汗|せめてもっと早く来ていたらと…\n考えずにはいられません…$k
MID_E000_BT_リズ: $t0$Wmリズ|6$w0|$Wsリズ|$Wa$E苦,|$SvpSE_VOICE_LIZ_EVT_3|この人たちの傷はもう…\n杖でも治してあげられないんだね。$k$pひどすぎるよ…\nこの人たちが何をしたっていうの？$k$p倒すことでしか助けてあげられないなんて\nごめん…ごめんね…$k
MID_E000_BT_ソワレ: $t0$Wmソワレ|6$w0|$Wsソワレ|$Wa$E苦,|$SvpSE_VOICE_SOIREE_EVT_17|こうやって向き合っていると、\nキミの辛さが伝わってくるよ。$k$pでも屍兵になった以上は、\n倒してしまうしかないんだね…$k$p$E怒,|あの男を倒すことでキミたちが皆\n助かるなら、どれだけ良かっただろう…$k
MID_E000_BT_マリアベル: $t0$Wmマリアベル|6$w0|$Wsマリアベル|$Wa$E苦,|$SvpSE_VOICE_MARIABELL_EVT_15|ここに来る前、リズは泣いていましたわ。\n村の人を助けることができなかったと…$k$p同じように苦しんだ貴方たちに手を下すなど\nあの子には耐え難い事だと思いますの。$k$p$E怒,|せめてわたくしがリズの分まで頑張りますわ。\nリズの心が…少しでも傷つかないように。$k
MID_E000_BT_ティアモ: $t0$Wmティアモ|6$w0|$Wsティアモ|$Wa$E怒,|$SvpSE_VOICE_TIAMO_EVT_4|この異界の人々にも、\n平穏な日々の暮らしがあったはず…$k$pなのに、突然襲われて\nすべて奪われてしまった…$k$p$E苦,|できることなら、もっと早くここにきて\nあなたたちを助けてあげたかった…$k
MID_E000_BT_ベルベット: $t0$Wmベルベット|6$w0|$Wsベルベット|$Wa$SvpSE_VOICE_VELVET_EVT_11|こんなトゲに刺されて…痛かったでしょう。\nすぐに楽にしてあげるわ。$k$p$E笑,|…大丈夫よ、向こうに行ったらきっと、\n私の仲間たちが迎えてくれる。$k$pみんな優しいから、怖くないわ。\nだから安心して旅立ちなさい…$k
MID_E000_BT_ノノ: $t0$Wmノノ|6$w0|$Wsノノ|$Wa$E苦,|$SvpSE_VOICE_NONO_EVT_3|この人たち…\nすごく苦しそう…$k$pノノ、いやだよ。\nこの人たちを倒すだなんて…$k$pでも…そうするしか\nないのかな…$k
MID_E000_BT_オリヴィエ: $t0$Wmオリヴィエ|6$w0|$Wsオリヴィエ|$Wa$E苦,汗|$SvpSE_VOICE_OLIVIE_EVT_10|うっ…ぐす…ひどいです…\nこんな姿になるまで痛めつけるなんて…$k$p痛かったですよね…辛かったですよね…\nでも…もう立ち上がらなくていいんです…$k$p$E気絶,汗|私たちが全部終わらせますから…\nどうかゆっくり眠って下さい…$k
MID_E000_BT_セルジュ: $t0$Wmセルジュ|6$w0|$Wsセルジュ|$Wa$E苦,汗|$SvpSE_VOICE_SERGE_EVT_14|…あなた、傷だらけなのね。\nそんなに可愛いのに、可哀想だわ。$k$p見ていてこんなに辛くなる\n屍兵ちゃんは、あなたが初めてよ。$k$p$E怒,|暗殺に手を染めてしまう前に、\nせめて私が…$k
MID_E000_BT_ミリエル: $t0$Wmミリエル|6$w0|$Wsミリエル|$Wa$E怒,汗|$SvpSE_VOICE_MYRIEL_EVT_1|…この屍兵、隙が多いですね。\nまるで倒されるのを望んでいるかのような…$k$pこれは…元になった人々の心が\n少なからず残っているということでしょうか。$k$p$E苦,汗|私は敵に同情を向けることはありません。\nですが…この屍兵に対しては…$k
MID_E000_BT_サーリャ: $t0$Wmサーリャ|6$w0|$Wsサーリャ|$Wa$SvpSE_VOICE_SALLYA_EVT_10|ここは、\n血と死の匂いで満ちてるわね…$k$pいつもよりすごい呪いが使えそうで\nとても興味深いのだけれど…$k$p$E苦,|なぜかしら…ここには…\nもういたくないわ。$k
MID_E000_BT_ジェローム: $t0$Wmジェローム|6$w0|$Wsジェローム|$Wa$SvpSE_VOICE_JEROME_EVT_5|私はお前たち屍兵のことを哀れだとか\n救ってやろうなどとは思っていない。$k$pお前たちがこうなったのは運命だし、\nこれから私に倒されるのも運命だ。$k$p$E怒,|戦場でいちいち相手のことを考えていては\nこちらの身が持たないのでな…$k
MID_E000_BT_ウード: $t0$Wmウード|6$w0|$Wsウード|$Wa$SvpSE_VOICE_EUDES_EVT_4|$Eキメ,汗|なんだ、この凄惨かつ禍々しき場所は…！\n貴様はこのような所で生きてきたのか…！$k$pふ…俺は他人を称賛することなど稀だが、\n貴様は認めてやってもいい…！$k$p$E苦,|うん…ほんとに、お前よく頑張ったよ。\n後は俺らに任せて、ゆっくり休め。$k
MID_E000_BT_アズール: $t0$Wmアズール|6$w0|$Wsアズール|$Wa$SvpSE_VOICE_AZUR_EVT_19|死んじゃった人が屍兵になるなんて\n未来ではよくあったことなんだよね。$k$p元が村人だろうと友達だろうと、\n敵として現れたら倒す。それだけだよ。$k$p$E苦,汗|そうだよ…こんなのとっくに慣れてるんだ。\n倒すのだって…何とも思わないよ…$k
MID_E000_BT_ブレディ: $t0$Wmブレディ|6$w0|$Wsブレディ|$Wa$SvpSE_VOICE_BREDY_EVT_19|治療中に死んだ奴が屍兵に\nなっちまうこと…未来でもよくあったぜ。$k$p$E怒,|さっきまで救おうとしてた奴を\n倒さないといけないのは辛かったが、$k$p元に戻らない以上は仕方ない。\nそう思わないと…やってられねぇよな…$k
MID_E000_BT_シャンブレー: $t0$Wmシャンブレー|6$w0|$Wsシャンブレー|$Wa$E苦,汗|$SvpSE_VOICE_CHAMBRAY_EVT_3|ひぃい…！　お前、俺を痛めつけて\n暗殺ウサギにするつもりなのか！？$k$p俺、臆病だから暗殺者になんか\nなれっこないんだからな！$k$pだから、頼むから\nこっちにこないでくれー！！$k
MID_E000_BT_ロラン: $t0$Wmロラン|6$w0|$Wsロラン|$Wa$E苦,汗|$SvpSE_VOICE_LAURENT_EVT_11|生前から痛めつけられ、死しても尚\n動き続けるとは同情に値しますね…$k$p$E怒,|しかし、敵として現れた以上、\nそのような情は切り捨ててお相手します。$k$pあなたもこれ以上苦しみたくないでしょう？\nなら…おとなしく倒れて下さい。$k
MID_E000_BT_マーク男: $t0$Wmマーク男|6$w0|$Wsマーク男|$Wa$E苦,汗|$SvpSE_VOICE_MARC_M_EVT_19|床一面のトゲに、傷を癒す床…\nこんな戦場があるなんて…$k$p本で読んだどの戦術を使えば\n上手く勝てるのか、見当もつきません。$k$p$E怒,汗|策で母さんの役に立てないのなら、\nせめて戦力として貢献しないと…！$k
MID_E000_BT_マルス: $t0$Wmルキナ|6$w0|$Wsルキナ|$Wa$E苦,|$SvpSE_VOICE_MARTH_EVT_48|何の罪も無い人々を\nこんな姿にするだなんて…！$k$pこんなひどい事…\n絶対に許すわけにはいきません！$k$p$E怒,|仇は私たちが討ってみせます。\nですから…せめて静かに眠ってください。$k
MID_E000_BT_デジェル: $t0$Wmデジェル|6$w0|$Wsデジェル|$Wa$E苦,汗|$SvpSE_VOICE_DEGEL_EVT_8|殺された後でも\n命令に従わされるなんて、あんまりよ…$k$p$E怒,|せめてこれ以上その手を汚さないよう、\n私があなたを止めてあげる。$k$pそれがあなたの救いになると…\n私はそう思って、この戦いに挑むわ。$k
MID_E000_BT_シンシア: $t0$Wmシンシア|6$w0|$Wsシンシア|$Wa$E怒,|$SvpSE_VOICE_CYNTHIA_EVT_14|元が誰だったとか考えちゃダメ…\n未来にいた時からそうだったもん。$k$pたとえ誰が化け物になっても、敵なら倒す！\nこのシンシアがすぐ楽にしてあげるわ！$k$p$E苦,|だから…お願い、抵抗しないで。\nこの決意が揺らいだら…戦えないよ。$k
MID_E000_BT_セレナ: $t0$Wmセレナ|6$w0|$Wsセレナ|$Wa$SvpSE_VOICE_SERENA_EVT_18|未来でもたくさんいたのよね…\n死んだあとに屍兵になっちゃう人。$k$p悲しいけど、そういう人は\nためらわずに倒すって決めてたのよ。$k$p$E怒,|情けをかけたら倒れるのはこっちだもの。\n恨むなら好きなだけ恨むといいわ！$k
