MESS_ARCHIVE_ユニットビュアー


Message Name: Message


MID_曲名_STRM_BGM_MAP_BATTLE1: 天命
MID_曲名_STRM_BGM_EVT_LEGEND1: 力を感じる…私たちと同じ力…
MID_曲名_STRM_BGM_EVT_LOVE1: …少し、むずがゆいな
MID_曲名_STRM_BGM_EVT_NAKAMA1: きらーんって来て、\nばーんみたいな感じ？
MID_曲名_STRM_BGM_EVT_SAD1: 俺にそんな力が…\n資格が…あると思うのか？
MID_曲名_STRM_BGM_EVT_SERIOUS1: 大きな混乱は無いようですね
MID_曲名_STRM_BGM_EVT_SERIOUS2: 「絆」が俺たちの\n戦いを支えているんだ
MID_曲名_STRM_BGM_EVT_TAIJI1: 人間なんてのは\n争い合うしかねぇんだよ！
MID_曲名_STRM_BGM_EVT_TAIJI2: こんなところにも、屍兵が…！
MID_曲名_STRM_BGM_EVT_TENNEN1: 俺様としたことが忘れてた
MID_曲名_STRM_BGM_EVT_YASASHISA1: ほら、怖がらないで
MID_曲名_STRM_BGM_EVT_MARTH1: 僕の名はマルスだ
MID_曲名_STRM_BGM_EVT_MYUNIT1: 「Ｉ」～安
MID_曲名_STRM_BGM_EVT_MYUNIT2: 「Ｉ」～哀
MID_曲名_STRM_BGM_EVT_MYUNIT3: 「Ｉ」～悩
MID_曲名_STRM_BGM_EVT_MYUNIT4: 「Ｉ」～闇
MID_曲名_STRM_BGM_SYS_BASE1: ここで進撃の\n準備を整えましょう
MID_曲名_STRM_BGM_SYS_MYROOM1: 今日はもう休みましょう
MID_曲名_STRM_BGM_SYS_GMAP1: この山を越えればもうすぐだ
MID_曲名_STRM_BGM_SYS_DEAD1: ご退場～
MID_曲名_STRM_BGM_SYS_GAMEOVER1: きれいな死なんざ\nねぇと思ってたがよ！
MID_曲名_STRM_BGM_SYS_CC2: 俺はもっと強くなる！
MID_曲名_STRM_BGM_SYS_SHOP1T: いい品そろってるぜ？
MID_曲名_STRM_BGM_SYS_SHOP2T: サービスしちゃうわっ！
MID_曲名_STRM_BGM_SYS_MENU1: 「Ｉ」ntroduction
MID_背景名_緑街道1: 平地
MID_背景名_緑街道2: 林
MID_背景名_緑街道6: 砦
MID_背景名_緑街道3: 低い山
MID_背景名_緑街道5: 河
MID_背景名_緑街道4: 橋
MID_背景名_緑街道7: 海
MID_背景名_賢者の部屋1: 屋内１
MID_背景名_夜の物置1: 屋内２
MID_背景名_スリラーハウス1: 屋内３
MID_背景名_遺跡1: 遺跡１
MID_背景名_遺跡2: 遺跡２
MID_背景名_神龍の聖地1: 聖地
MID_背景名_ミラの大樹1: ミラの大樹
MID_背景名_氷の遺跡1: 時の遺跡
MID_背景名_始まり山1: 始まりの山
MID_背景名_虹山1: 虹の降る山
MID_背景名_飛竜谷1: 飛竜の谷
MID_背景名_北国1: 雪原
MID_背景名_フェリア港1: 港１
MID_背景名_港町キール1: 港２
MID_背景名_シュヴァイン要塞1: シュヴァイン要塞　外観
MID_背景名_シュヴァイン要塞2: シュヴァイン要塞
MID_背景名_ヴァルキャッスル1: ヴァルム城　外観
MID_背景名_ヴァルキャッスル3: ヴァルム城
MID_背景名_イーリス城1: イーリス城　中庭
MID_背景名_イーリス城2: イーリス城
MID_背景名_闇の祭壇1: 竜の祭壇　外観
MID_背景名_闇の祭壇2: 竜の祭壇
MID_背景名_崖の道1: 崖の道
MID_背景名_ペレジア3: ペレジア城
MID_背景名_ペレジア1: 砂漠
MID_背景名_ペレジア2: オアシス
MID_背景名_ギム骨城1: ペレジア城　外観
MID_背景名_荒野1: 荒野１
MID_背景名_荒野2: 荒野２
MID_背景名_荒野3: 月明かりの谷間
MID_背景名_闘技場1: フェリア闘技場
MID_背景名_ドーマの臓物1: ドーマの臓物
MID_背景名_万里1: 長城
MID_背景名_船上1: 軍艦
MID_背景名_森夜2: 夜の森
MID_背景名_森夜1: 廃村
MID_背景名_山火事夜1: 天変地異
MID_背景名_山道1: 山道
MID_背景名_サンセット1: 夕暮れの平地
MID_背景名_サンセット3: 夕暮れの海岸線
MID_背景名_サンセット4: 遺跡３
MID_背景名_嵐の夜1: 嵐の草原
MID_背景名_嵐の夜3: 嵐の海岸線
