MESS_ARCHIVE_お店


Message Name: Message


MID_買う_PCM1: 何を買おうか…。
MID_買う_マーク男: 買い物って楽しいよね！\n母さん、今日は何を買うの？
MID_売る_マーク男: 母さんが持ってる物の方が\n高く売れるんじゃない？
MID_錬成_マーク男: 僕の武器、強くしてくれるの？\nありがとう、母さん！
MID_買う_マルス: いつか、未来でもこんな風に\nお買い物がしたいです。
MID_売る_マルス: 軍資金の足しになるような\n物があればいいんですけど…。
MID_錬成_マルス: 武器には好きな名前を\nつけて下さいね。
MID_買う_デジェル: かっこいい鎧とか防具は\n売ってないのかしら…！？
MID_売る_デジェル: 私のこの鎧以外なら、\n何でも売っていいわ。
MID_錬成_デジェル: 武器に負けないよう、\n私も自分を鍛えないと！
MID_買う_シンシア: お店の商品を見てるだけで\n楽しい気分になるよー！
MID_売る_シンシア: 未来から持ってきた物も\nちゃんと売れるのかなー？
MID_錬成_シンシア: ヒーローっぽい強い武器に\nして欲しいなー！
MID_買う_セレナ: あたし、あれとこれとそれと、\nそっちの物が欲しいわ。
MID_売る_セレナ: なによ、あたしの持ち物\n勝手に売らないでよね！
MID_錬成_セレナ: ぶ、武器を強くするって…。\nあたしが、弱いから…？
MID_買う_ノワール: いわくつきの武器とかが\n回ってきませんように…。
MID_売る_ノワール: も…もしかしてお金が\n足りなかったの…！？
MID_錬成_ノワール: な…なんで武器が強くなるの？\n何かの呪いなの？　ひぃい…！
MID_買う_ンン: 無理なおねだりはしないので\n安心してくださいです。
MID_売る_ンン: 何でも売るといいです。\n私、モノには執着しないです。
MID_錬成_ンン: 武器には読みにくい名前を\nつけちゃダメですよ…？
MID_買う_マーク女: 買い物って楽しいわよね！\n父さん、今日は何を買うの？
MID_売る_マーク女: 父さんが持ってる物の方が\n高く売れるんじゃない？
MID_錬成_マーク女: 私の武器、強くしてくれるの？\nありがとう、父さん！
MID_買う_パリス: $Nu…俺に何か\n買ってくれるのか。すまない。
MID_売る_パリス: 何でも好きな物を売れ。
MID_錬成_パリス: 武器に手を加えると…\n愛着がわいて良い。
MID_買う_バジーリオ: $Nuに物を\n買わせるなんて、悪ぃな。
MID_売る_バジーリオ: 金に困ってるなら、城から\n何か持ってくりゃ良かったな。
MID_錬成_バジーリオ: $Nu好みの武器に\nしてくれて構わねぇぜ！
MID_買う_レンハ: 私の持ち物など、\n誰かの使い古しで構わぬぞ。
MID_売る_レンハ: 私の持ち物で役に立つなら\n好きにしてくれると良い。
MID_錬成_レンハ: 私の武器を\n鍛えてくれるのか？
MID_買う_ヴァルハルト: $Nuよ、\n無駄遣いはせぬようにな。
MID_売る_ヴァルハルト: 我の物は軍の物だ。\nうぬの好きにするが良い。
MID_錬成_ヴァルハルト: 強力な武器など不要。\n必要なのは己の腕前のみ。
MID_買う_ギャンレル: おっ、$Nu、\nオレに何か買ってくれんのか？
MID_売る_ギャンレル: なんだぁ？　オレはもう\n金目の物なんざ持ってねぇぞ？
MID_錬成_ギャンレル: とびっきり強い武器に\nしてくれよォ！？
MID_買う_サイリ: $Nu…色々と\n買わせてしまい、すまないな。
MID_売る_サイリ: 何か売れる物はあるか？\n私はこの軍の役に立ちたい。
MID_錬成_サイリ: 武器の強さに甘んじず、\n己を磨くことも大切だな。
MID_買う_アンナ: む…。なかなか品揃えの\nいいお店じゃないの…。
MID_売る_アンナ: 私の武器はお買い得よ？\n毎度ありー。
MID_錬成_アンナ: 私のお店でも\n錬成サービス始めようかしら。
MID_買う_チキ: 何千年経っても、買い物が\n楽しいのは同じね…。
MID_売る_チキ: 昔の持ち物を残してたら\n高く売れたかもしれないわね。
MID_錬成_チキ: 武器が成長するのを\n見るのは楽しいわね。
MID_買う_インバース: $Nuが私に\n物を買うなんて、珍しいわぁ。
MID_売る_インバース: それ、売っちゃうのぉ？\n気に入ってたのに…なんてね。
MID_錬成_インバース: 私に相応しい、色っぽい\n武器にしてちょうだい…？
MID_買う_フラヴィア: お、$Nu。\n何を買ってくれるんだい？
MID_売る_フラヴィア: フェリア王の持ち物を\n売るなんて、いい度胸だねぇ。
MID_錬成_フラヴィア: 武器も人も、\n鍛えりゃ強くなるんだよ。
MID_買う_エメリナ: …なにか、\nかって…くれるの？
MID_売る_エメリナ: うれる、もの…\nえらんで…。
MID_錬成_エメリナ: ぶき、つよく…する。\nわたしも…つよく、なる。
MID_買う_旧マルス: ………。
MID_売る_旧マルス: ………。
MID_錬成_旧マルス: ………。
