MESS_ARCHIVE_マイルーム挨拶


Message Name: Message


MID_マイルーム挨拶_クロム_朝: おかえり\n$Nu。\nいい朝だな。
MID_マイルーム挨拶_ドニ_朝: おかえりだべ\n$Nu。\n良く眠れたべか？
MID_マイルーム挨拶_ドニ_昼: おかえりだべ\n$Nu。\n今日は何するんだべ？
MID_マイルーム挨拶_ドニ_夕: おかえりだべ\n$Nu。\nもう夜だべ。
MID_マイルーム挨拶_ドニ_夜: おかえりだべ\n$Nu。\nそろそろ休むべ。
MID_マイルーム挨拶_ドニ_誕: $Nu、\n誕生日おめでとうだべ。
MID_マイルーム挨拶_スミア_朝: おかえりなさい\n$Nuさん。\nとってもいい朝ですね。
MID_マイルーム挨拶_スミア_昼: おかえりなさい\n$Nuさん。\n今日は何をするんですか？
MID_マイルーム挨拶_スミア_夕: おかえりなさい\n$Nuさん。\n夜になるのは早いですね。
MID_マイルーム挨拶_スミア_夜: おかえりなさい\n$Nuさん。\nそろそろ休みましょう。
MID_マイルーム挨拶_スミア_誕: $Nuさん、\nお誕生日\nおめでとうございます…！
MID_マイルーム挨拶_リズ_朝: おかえりー\n$Nuさん！\n今日も元気にいこうねー。
MID_マイルーム挨拶_リズ_昼: おかえりー\n$Nuさん！\n今日は何するのー？
MID_マイルーム挨拶_リズ_夕: おかえりー\n$Nuさん！\nもう夜だねー。
MID_マイルーム挨拶_リズ_夜: おかえりー\n$Nuさん！\n眠くなってきちゃったー。
MID_マイルーム挨拶_リズ_誕: $Nuさーん！\nお誕生日おめでとー！
MID_マイルーム挨拶_ソワレ_朝: おかえり\n$Nu。\nまだ眠そうな顔だね。
MID_マイルーム挨拶_ソワレ_昼: おかえり\n$Nu。\n今日は予定はあるのかい？
MID_マイルーム挨拶_ソワレ_夕: おかえり\n$Nu。\n夜になるのは早いね。
MID_マイルーム挨拶_ソワレ_夜: おかえり\n$Nu。\nそろそろ休みなよ。
MID_マイルーム挨拶_ソワレ_誕: $Nu、\n誕生日おめでとう。
MID_マイルーム挨拶_マリアベル_朝: おかえりなさいまし\n$Nuさん。\n良い朝ですわね。
MID_マイルーム挨拶_マリアベル_昼: おかえりなさいまし\n$Nuさん。\n今日は何をなさるの？
MID_マイルーム挨拶_マリアベル_夕: おかえりなさいまし\n$Nuさん。\nもう夜ですわね。
MID_マイルーム挨拶_マリアベル_夜: おかえりなさいまし\n$Nuさん。\nもうお休みになりますの？
MID_マイルーム挨拶_マリアベル_誕: $Nuさん。\nお誕生日\nおめでとうございますわ。
MID_マイルーム挨拶_ティアモ_朝: おかえりなさい\n$Nu。\n今日はいい朝ね。
MID_マイルーム挨拶_ティアモ_昼: おかえりなさい\n$Nu。\n今日は何するの？
MID_マイルーム挨拶_ティアモ_夕: おかえりなさい\n$Nu。\n夜になるのは早いわね。
MID_マイルーム挨拶_ティアモ_夜: おかえりなさい\n$Nu。\nそろそろ休みましょ。
MID_マイルーム挨拶_ティアモ_誕: $Nu、\n誕生日おめでとう！
MID_マイルーム挨拶_ベルベット_朝: おかえり\n$Nu。\n今日は早いわね。
MID_マイルーム挨拶_ベルベット_昼: おかえり\n$Nu。\n今日は何をするの？
MID_マイルーム挨拶_ベルベット_夕: おかえり\n$Nu。\nもう夜ね。早いものだわ。
MID_マイルーム挨拶_ベルベット_夜: おかえり\n$Nu。\n早く休みましょ。
MID_マイルーム挨拶_ベルベット_誕: $Nu、\n誕生日おめでとう。
MID_マイルーム挨拶_ノノ_朝: おかえり\n$Nu。\n今日は早起きさんだね！
MID_マイルーム挨拶_ノノ_昼: おかえり\n$Nu。\n今日はどっか行くのー？
MID_マイルーム挨拶_ノノ_夕: おかえり\n$Nu。\nもう夜だねー！
MID_マイルーム挨拶_ノノ_夜: おかえり\n$Nu。\n眠くなってきちゃったの…
MID_マイルーム挨拶_ノノ_誕: $Nu！\nたんじょーびおめでとー！
MID_マイルーム挨拶_オリヴィエ_朝: おかえりなさい\n$Nuさん。\nあの、いい朝ですね…
MID_マイルーム挨拶_オリヴィエ_昼: おかえりなさい\n$Nuさん。\n今日は何するんですか？
MID_マイルーム挨拶_オリヴィエ_夕: おかえりなさい\n$Nuさん。\nも…もう夜ですね…
MID_マイルーム挨拶_オリヴィエ_夜: おかえりなさい\n$Nuさん。\nゆっくり休んでください…
MID_マイルーム挨拶_オリヴィエ_誕: $Nuさん…、\nお、お誕生日\nおめでとうございます…！
MID_マイルーム挨拶_セルジュ_朝: おかえりなさい\n$Nu。\nとってもいい朝だわ。
MID_マイルーム挨拶_セルジュ_昼: おかえりなさい\n$Nu。\n今日は何をするのかしら。
MID_マイルーム挨拶_セルジュ_夕: おかえりなさい\n$Nu。\nあら、もう夜なのね…
MID_マイルーム挨拶_セルジュ_夜: おかえりなさい\n$Nu。\nそろそろ休みましょう。
MID_マイルーム挨拶_セルジュ_誕: $Nu、\nお誕生日おめでとう。
MID_マイルーム挨拶_ミリエル_朝: おかえりなさい\n$Nuさん。\nなぜ夜は明けるのでしょう。
MID_マイルーム挨拶_ミリエル_昼: おかえりなさい\n$Nuさん。\nなぜ昼は明るいのでしょう。
MID_マイルーム挨拶_ミリエル_夕: おかえりなさい\n$Nuさん。\nなぜ夜は暗いのでしょう。
MID_マイルーム挨拶_ミリエル_夜: おかえりなさい\n$Nuさん。\nなぜ人は眠るのでしょう。
MID_マイルーム挨拶_ミリエル_誕: $Nuさん。\nお誕生日\nおめでとうございます。
MID_マイルーム挨拶_サーリャ_朝: …おかえりなさい\n$Nu…\nふふ、今日も素敵ね…
MID_マイルーム挨拶_サーリャ_昼: …おかえりなさい\n$Nu…\n今日はどこに行くの…
MID_マイルーム挨拶_サーリャ_夕: …おかえりなさい\n$Nu…\n…夜は好きだわ…
MID_マイルーム挨拶_サーリャ_夜: …おかえりなさい\n$Nu…\n…もう眠ってしまうの…？
MID_マイルーム挨拶_サーリャ_誕: $Nu！\nた、誕生日おめでとう…！
MID_マイルーム挨拶_ジェローム_朝: おかえり\n$Nu。\n今日は早いのだな。
MID_マイルーム挨拶_ジェローム_昼: おかえり\n$Nu。\n今日はどこに行くんだ。
MID_マイルーム挨拶_ジェローム_夕: おかえり\n$Nu。\n夜が来るのは早いな…
MID_マイルーム挨拶_ジェローム_夜: おかえり\n$Nu。\nそろそろ休んだ方がいい。
MID_マイルーム挨拶_ジェローム_誕_通常: $Nu、\n…誕生日おめでとう。
MID_マイルーム挨拶_ジェローム_誕: $Nu、\n…誕生日おめでとう。\nミネルヴァも祝っている…
MID_マイルーム挨拶_ウード_朝: ふ…よく帰ってきたな\n$Nu。\n朝から血が騒ぐ…！
MID_マイルーム挨拶_ウード_昼: ふ…よく帰ってきたな\n$Nu。\n今日の使命は何だ？
MID_マイルーム挨拶_ウード_夕: ふ…よく帰ってきたな\n$Nu。\n夜の闇は心が安らぐ…
MID_マイルーム挨拶_ウード_夜: ふ…よく帰ってきたな\n$Nu。\nくっ…そろそろ意識が…！
MID_マイルーム挨拶_ウード_誕_通常: $Nuさんの\n誕生日だと…！？\n血が騒いできたぜ…！
MID_マイルーム挨拶_ウード_誕: $Nu、\nお前という光が生まれし\nこの日を素晴らしく思う！
MID_マイルーム挨拶_ウード_誕_親子: 今日は父さんの\n生まれた日だな…！\n血が騒ぐぜ…！！
MID_マイルーム挨拶_アズール_朝: おかえり、$Nu。\nまだ眠そうだけど、\nそんな顔も可愛いね。
MID_マイルーム挨拶_アズール_昼: おかえり、$Nu。\n顔が見られて嬉しいよ。\n僕に会いにきてくれたの？
MID_マイルーム挨拶_アズール_夕: おかえり、$Nu。\nもう夜だね…\n今日はいいことあった？
MID_マイルーム挨拶_アズール_夜: おかえり、$Nu。\n寝る前に会いたくて\n待ってたんだよ。
MID_マイルーム挨拶_アズール_誕_通常: $Nuさん、\nお誕生日\nおめでとうございます。
MID_マイルーム挨拶_アズール_誕: $Nu、\nお誕生日おめでとう。\n後で一緒にお祝いしよ？
MID_マイルーム挨拶_アズール_誕_親子: 父さん、\nお誕生日おめでとう。\n今日で何歳になったの？
MID_マイルーム挨拶_ブレディ_朝: おかえり\n$Nu。\nうーん…まだ眠いな…
MID_マイルーム挨拶_ブレディ_昼: おかえり\n$Nu。\n今日は何するんだ？
MID_マイルーム挨拶_ブレディ_夕: おかえり\n$Nu。\nちっ、もう夜かよ…
MID_マイルーム挨拶_ブレディ_夜: おかえり\n$Nu。\nもう夜遅いぞ…早く休め。
MID_マイルーム挨拶_ブレディ_誕_通常: $Nu、\n今日が誕生日なのか？\nめでたいじゃねぇか。
MID_マイルーム挨拶_ブレディ_誕: $Nu、\n誕生日おめでとう。\n後で祝ってやるからな。
MID_マイルーム挨拶_ブレディ_誕_親子: 父さん、\n誕生日おめでとう。\nまた一つ歳とったな。
MID_マイルーム挨拶_シャンブレー_朝: おかえり、$Nu。\nいい夢見れたか？\n今日も絶滅しないぞー！
MID_マイルーム挨拶_シャンブレー_昼: おかえり、$Nu。\n無事に昼になったな…\nお互い無事で何よりだ。
MID_マイルーム挨拶_シャンブレー_夕: おかえり、$Nu。\n良かった…無事で。\n俺も絶滅しなかったぞ！
MID_マイルーム挨拶_シャンブレー_夜: おかえり、$Nu。\n明日のためにも、\n早く寝た方がいいぜ？
MID_マイルーム挨拶_シャンブレー_誕_通常: $Nuさん。\nお誕生日\nおめでとうございます！
MID_マイルーム挨拶_シャンブレー_誕: $Nu、\n誕生日おめでとう！\n今日はお祝いだな！
MID_マイルーム挨拶_シャンブレー_誕_親子: 父ちゃん、\n誕生日おめでとう！\n長生きしてくれよ？
MID_マイルーム挨拶_ロラン_朝: おかえりなさい\n$Nu。\n今日は早起きなのですね。
MID_マイルーム挨拶_ロラン_昼: おかえりなさい\n$Nu。\n本日はどこへ行くのです？
MID_マイルーム挨拶_ロラン_夕: おかえりなさい\n$Nu。\n今日も終わりですね…
MID_マイルーム挨拶_ロラン_夜: おかえりなさい\n$Nu。\nそろそろ休まれては…？
MID_マイルーム挨拶_ロラン_誕_通常: $Nuさん。\nお誕生日\nおめでとうございます。
MID_マイルーム挨拶_ロラン_誕: $Nu…\n今日は特別な日ですね。\nおめでとうございます。
MID_マイルーム挨拶_ロラン_誕_親子: 父様、お誕生日\nおめでとうございます。\n今日でおいくつですか？
MID_マイルーム挨拶_マルス_朝: おかえりなさい\n$Nuさん。\n清々しい朝ですね。
MID_マイルーム挨拶_マルス_昼: おかえりなさい\n$Nuさん。\n今日も一日頑張りましょう。
MID_マイルーム挨拶_マルス_夕: おかえりなさい\n$Nuさん。\n夜になるのは早いですね。
MID_マイルーム挨拶_マルス_夜: おかえりなさい\n$Nuさん。\nゆっくり休んでください。
MID_マイルーム挨拶_マルス_誕_通常: $Nuさん、\nお誕生日\nおめでとうございます。
MID_マイルーム挨拶_マルス_誕: $Nuさん…\nあなたの誕生日を祝えて\n私…とても嬉しいです。
MID_マイルーム挨拶_マルス_誕_親子: お母様、お誕生日\nおめでとうございます。\nお父様もお喜びですよ。
MID_マイルーム挨拶_デジェル_朝: おかえり、$Nu。\n今日も良い朝ね…\n訓練のしがいがあるわ。
MID_マイルーム挨拶_デジェル_昼: おかえり、$Nu。\n会えて嬉しいわ。\n後で手合わせをしない？
MID_マイルーム挨拶_デジェル_夕: おかえり、$Nu。\nもう一日が終わるわね…\n今日は何があった？
MID_マイルーム挨拶_デジェル_夜: おかえり、$Nu。\nもう夜遅いから、\n早く休んだ方がいいわ。
MID_マイルーム挨拶_デジェル_誕_通常: $Nu殿、\n誕生日\nおめでとうございます。
MID_マイルーム挨拶_デジェル_誕: 今日は$Nuの\n誕生日よね。\nお祝いできて嬉しいわ。
MID_マイルーム挨拶_デジェル_誕_親子: 父さん、\n誕生日おめでとう！\n一体いくつになったの？
MID_マイルーム挨拶_シンシア_朝: おかえり、$Nu！\nとってもいい朝だねー！\n今日も頑張っちゃうよ！
MID_マイルーム挨拶_シンシア_昼: おかえり、$Nu！\n会えて嬉しいよ！\n今日は何するのー？
MID_マイルーム挨拶_シンシア_夕: おかえり、$Nu！\n夜になるの早いね。\n今日もお疲れさまー！
MID_マイルーム挨拶_シンシア_夜: おかえり、$Nu…\n帰ってくるの待ってたら\n眠くなっちゃったよ…
MID_マイルーム挨拶_シンシア_誕_通常: $Nuさん！\nお誕生日おっめでとー！
MID_マイルーム挨拶_シンシア_誕: 今日は$Nuの\n誕生日なんだよね！\n頑張って祝っちゃうよー！
MID_マイルーム挨拶_シンシア_誕_親子: 父さん、\nお誕生日おめでとー！\nえっと、何歳になったの？
MID_マイルーム挨拶_セレナ_朝: おかえり、$Nu。\nなんか寝ぼけた顔ねー。\nちゃんと眠れたの？
MID_マイルーム挨拶_セレナ_昼: おかえり、$Nu。\nあんた今日もヒマそうねー。\n予定ぐらい無いわけ？
MID_マイルーム挨拶_セレナ_夕: おかえり…$Nu。\n遅かったじゃない。\nどこほっつき歩いてたの？
MID_マイルーム挨拶_セレナ_夜: おかえり、$Nu…\n…この時間に待ってたら\n会えると思ったのよ…
MID_マイルーム挨拶_セレナ_誕_通常: $Nuさん、\n今日誕生日なのね。\n…おめでと。
MID_マイルーム挨拶_セレナ_誕: $Nu。あたしが\n誕生日祝ってあげるから…\nか、感謝しなさいよね！
MID_マイルーム挨拶_セレナ_誕_親子: 父さん、誕生日おめでと。\nちゃんと覚えてたのよ、\n偉いでしょ？
MID_マイルーム挨拶_ノワール_朝: おかえりなさい…\n$Nu…\nふぁ…まだ眠いわ…
MID_マイルーム挨拶_ノワール_昼: おかえりなさい…\n$Nu…\nどこか…出かけるの…？
MID_マイルーム挨拶_ノワール_夕: おかえりなさい…\n$Nu…\n夜が来るのは…早いわね。
MID_マイルーム挨拶_ノワール_夜: ふははははは！\nよく帰ったな\n$Nuよ！
MID_マイルーム挨拶_ノワール_誕_通常: $Nuさん…\nお誕生日…\nおめでとうございます…
MID_マイルーム挨拶_ノワール_誕: $Nu…\nお誕生日おめでとう…\nお祝いできて嬉しいわ…
MID_マイルーム挨拶_ノワール_誕_親子: 父さんの誕生日…\n今日だったわよね…？\nおめでとう…父さん…
MID_マイルーム挨拶_ンン_朝: あっ、$Nu。\nおかえりなさいです。\n珍しく早起きなのです。
MID_マイルーム挨拶_ンン_昼: あっ、$Nu。\nおかえりなさいです。\n会えて嬉しいのです。
MID_マイルーム挨拶_ンン_夕: あっ、$Nu。\nおかえりなさいです。\nもう夜になるですね…
MID_マイルーム挨拶_ンン_夜: あっ、$Nu。\nおかえりなさいです。\n夜は二人の時間です。
MID_マイルーム挨拶_ンン_誕_通常: $Nuさん、\nお誕生日おめでとうです。
MID_マイルーム挨拶_ンン_誕: お誕生日おめでとうです。\n今日は$Nuを\nお祝いするのです。
MID_マイルーム挨拶_ンン_誕_親子: お父さん、\nお誕生日おめでとうです。\n頑張って長生きするです。
MID_マイルーム挨拶_マーク男_誕_親子: 母さん、\nお誕生日おめでとう！
MID_マイルーム挨拶_マーク女_誕_親子: 父さん、\nお誕生日おめでとう！
MID_マイルーム挨拶_パリス_朝: おかえり\n$Nu。\n朝の鍛錬に行ってくる。
MID_マイルーム挨拶_パリス_昼: おかえり\n$Nu。\n今日はどこか行くのか？
MID_マイルーム挨拶_パリス_夕: おかえり\n$Nu。\n良い一日が過ごせたか？
MID_マイルーム挨拶_パリス_夜: おかえり\n$Nu。\n早く休め。身体に障るぞ？
MID_マイルーム挨拶_パリス_誕: 今日は誕生日なのか\n$Nu。\n…おめでとう。
MID_マイルーム挨拶_バジーリオ_朝: おかえりー\n$Nu。\nいやー今日もいい朝だな。
MID_マイルーム挨拶_バジーリオ_昼: おかえりー\n$Nu。\n今日は何すんだー？
MID_マイルーム挨拶_バジーリオ_夕: おかえりー\n$Nu。\nおいおい、もう夜かよ。
MID_マイルーム挨拶_バジーリオ_夜: おかえりー\n$Nu。\n早いとこ休んどけよ。
MID_マイルーム挨拶_バジーリオ_誕: $Nu！\n今日誕生日なんだって？\nめでたいじゃねぇか！
MID_マイルーム挨拶_レンハ_朝: よく帰ったな\n$Nu殿。\n今日も良い朝だ…
MID_マイルーム挨拶_レンハ_昼: よく帰ったな\n$Nu殿。\n今日は何をするのだ？
MID_マイルーム挨拶_レンハ_夕: よく帰ったな\n$Nu殿。\nもう夜も更けるな…
MID_マイルーム挨拶_レンハ_夜: よく帰ったな\n$Nu殿。\n今日はもう休まれよ。
MID_マイルーム挨拶_レンハ_誕_通常: 本日が誕生日か、\n$Nu殿。\n祝いを申し上げる。
MID_マイルーム挨拶_レンハ_誕: 今日は誕生日だな。\nおめでとう、\n$Nu殿…
MID_マイルーム挨拶_ヴァルハルト_朝: よくぞ帰った\n$Nu。\n良い夢は見られたか。
MID_マイルーム挨拶_ヴァルハルト_昼: よくぞ帰った\n$Nu。\n我は鍛錬に出かけるぞ。
MID_マイルーム挨拶_ヴァルハルト_夕: よくぞ帰った\n$Nu。\n実りある一日だったか。
MID_マイルーム挨拶_ヴァルハルト_夜: よくぞ帰った\n$Nu。\nそろそろ休むが良い。
MID_マイルーム挨拶_ヴァルハルト_誕: 今日が誕生日とな？\n$Nu。\n祝いを申すぞ。
MID_マイルーム挨拶_ギャンレル_朝: お、帰ったのか\n$Nu。\nお前、寝起き悪そうだなー。
MID_マイルーム挨拶_ギャンレル_昼: お、帰ったのか\n$Nu。\nなんだ、ヒマなのかー？
MID_マイルーム挨拶_ギャンレル_夕: お、帰ったのか\n$Nu。\n今日も一日ごくろーさん。
MID_マイルーム挨拶_ギャンレル_夜: お、帰ったのか\n$Nu。\n早いとこ休んどけよ？
MID_マイルーム挨拶_ギャンレル_誕: $Nu、\n誕生日ぐらいで\n浮かれてんじゃねぇぞー！
MID_マイルーム挨拶_サイリ_朝: よくぞ帰られた\n$Nu殿。\n朝の空気は良いものだな。
MID_マイルーム挨拶_サイリ_昼: よくぞ帰られた\n$Nu殿。\n今日は何をするのだ？
MID_マイルーム挨拶_サイリ_夕: よくぞ帰られた\n$Nu殿。\nもう夜だ。星が綺麗だな。
MID_マイルーム挨拶_サイリ_夜: よくぞ帰られた\n$Nu殿。\nゆっくり休まれよ。
MID_マイルーム挨拶_サイリ_誕_通常: 今日は誕生日なのだな、\n$Nu殿。\nお祝い申し上げる。
MID_マイルーム挨拶_サイリ_誕: 今日は誕生日だな、\n$Nu殿。\n共に祝おうではないか。
MID_マイルーム挨拶_アンナ_朝: おかえり\n$Nu。\n昨日はよく眠れたかしら？
MID_マイルーム挨拶_アンナ_昼: おかえり\n$Nu。\n今日も一日頑張るわよー。
MID_マイルーム挨拶_アンナ_夕: おかえり\n$Nu。\n今日も儲かったわー。
MID_マイルーム挨拶_アンナ_夜: おかえり\n$Nu。\n早く寝なさいねー。
MID_マイルーム挨拶_アンナ_誕: $Nu、\n誕生日おめでとうー！
MID_マイルーム挨拶_チキ_朝: おかえりなさい\n$Nu…\n…ふぅ…朝は苦手だわ…
MID_マイルーム挨拶_チキ_昼: おかえりなさい\n$Nu…\nやっと目が覚めてきたわ。
MID_マイルーム挨拶_チキ_夕: おかえりなさい\n$Nu…\n今日も一日お疲れさま。
MID_マイルーム挨拶_チキ_夜: おかえりなさい\n$Nu…\nそろそろ休みましょう…？
MID_マイルーム挨拶_チキ_誕: $Nu、\n誕生日おめでとう。\nもう100歳ぐらいになった？
MID_マイルーム挨拶_インバース_朝: おかえりなさい\n$Nu…\n早起きなのね、偉いわぁ。
MID_マイルーム挨拶_インバース_昼: おかえりなさい\n$Nu…\n浮気してきちゃダメよぉ？
MID_マイルーム挨拶_インバース_夕: おかえりなさい\n$Nu…\nもう夜なのね、早いわぁ。
MID_マイルーム挨拶_インバース_夜: おかえりなさい\n$Nu…\nふふ、そろそろ休みましょ？
MID_マイルーム挨拶_インバース_誕: $Nu、誕生日…\nお・め・で・と・う。\nうふふ…
MID_マイルーム挨拶_フラヴィア_朝: おっ、帰ってきたね\n$Nu！\nまだちょっと眠そうだねえ。
MID_マイルーム挨拶_フラヴィア_昼: おっ、帰ってきたね\n$Nu！\n今日はどっか行くのかい？
MID_マイルーム挨拶_フラヴィア_夕: おっ、帰ってきたね\n$Nu！\n夜になるのは早いねぇ。
MID_マイルーム挨拶_フラヴィア_夜: おっ、帰ってきたね\n$Nu！\nそろそろ休んでおきな！
MID_マイルーム挨拶_フラヴィア_誕: $Nu！\n誕生日おめでとう！\n今夜は宴だよ！
MID_マイルーム挨拶_エメリナ_朝: おか…えり…\n$Nu…\nいい…あさ、ね…
MID_マイルーム挨拶_エメリナ_昼: おか…えり…\n$Nu…\nきょうは…何する…の？
MID_マイルーム挨拶_エメリナ_夕: おか…えり…\n$Nu…\nもう…夜……
MID_マイルーム挨拶_エメリナ_夜: おか…えり…\n$Nu…\nゆっくり…やすんで…
MID_マイルーム挨拶_エメリナ_誕: $Nu…\nたんじょ…び\nおめで…と。
MID_マイルーム挨拶_誕生日1: 今日は%lsの誕生日です。
MID_マイルーム挨拶_誕生日2: 今日は%lsと\n%lsの誕生日です。
MID_マイルーム挨拶_クロム_朝_通常: おはよう、$Nu。\n朝の見回りか？
MID_マイルーム挨拶_フレデリク_朝_通常: おはようございます\n$Nuさん。\n今からご休憩ですか？
MID_マイルーム挨拶_ソール_朝_通常: おはよう、$Nu。\nなんかお腹すいたなー。
MID_マイルーム挨拶_カラム_朝_通常: おはよう\n$Nu…\n僕のこと、見えてる…？
MID_マイルーム挨拶_リヒト_朝_通常: おはよう\n$Nuさん！\n休憩しに来たのー？
MID_マイルーム挨拶_ヴェイク_朝_通常: よぉ$Nu！！\n俺様、\n朝の休憩中だぜー！
MID_マイルーム挨拶_リベラ_朝_通常: おはようございます\n$Nuさん。\n今日もどうかご無事で。
MID_マイルーム挨拶_ロンクー_朝_通常: $Nuか…\n…今日は早いな。
MID_マイルーム挨拶_グレゴ_朝_通常: よっ、$Nu！\n朝っぱらから休憩かー？
MID_マイルーム挨拶_ガイア_朝_通常: おはよう$Nu。\nお前もおやつの時間か？
