MESS_ARCHIVE_メッセージカード


Message Name: Message


MID_Mカード_タイトル: メッセージカード
MID_Mカード_出身_055: アカネイア
MID_Mカード_出身_056: アリティア
MID_Mカード_出身_057: マケドニア
MID_Mカード_出身_058: グラ
MID_Mカード_出身_059: ドルーア
MID_Mカード_出身_060: カシミア
MID_Mカード_出身_061: ラーマン
MID_Mカード_出身_062: グルニア
MID_Mカード_出身_063: テーベ
MID_Mカード_出身_064: カダイン
MID_Mカード_出身_065: オレルアン
MID_Mカード_出身_066: レフカンディ
MID_Mカード_出身_067: ガルダ
MID_Mカード_出身_068: ワーレン
MID_Mカード_出身_069: ディール
MID_Mカード_出身_070: ペラティ
MID_Mカード_出身_071: タリス
MID_Mカード_出身_072: バレンシア
MID_Mカード_出身_073: リゲル
MID_Mカード_出身_074: ラム
MID_Mカード_出身_075: ノーヴァ
MID_Mカード_出身_076: ソフィア
MID_Mカード_出身_077: ミラ
MID_Mカード_出身_078: ドーマ
MID_Mカード_出身_079: ユグドラル
MID_Mカード_出身_080: グランベル
MID_Mカード_出身_081: トラキア
MID_Mカード_出身_082: レンスター
MID_Mカード_出身_083: イザーク
MID_Mカード_出身_084: シレジア
MID_Mカード_出身_085: アグストリア
MID_Mカード_出身_086: ヴェルダン
MID_Mカード_出身_087: エレブ
MID_Mカード_出身_088: カフチ
MID_Mカード_出身_089: ナバタ
MID_Mカード_出身_090: ヴァロール
MID_Mカード_出身_091: リキア
MID_Mカード_出身_092: ベルン
MID_Mカード_出身_093: サカ
MID_Mカード_出身_094: イリア
MID_Mカード_出身_095: エトルリア
MID_Mカード_出身_096: ディア
MID_Mカード_出身_097: フィベルニア
MID_Mカード_出身_098: カレドニア
MID_Mカード_出身_099: マギ・ヴァル
MID_Mカード_出身_100: フレリア
MID_Mカード_出身_101: カルチノ
MID_Mカード_出身_102: ロストン
MID_Mカード_出身_103: ルネス
MID_Mカード_出身_104: ジャハナ
MID_Mカード_出身_105: グラド
MID_Mカード_出身_106: テリウス
MID_Mカード_出身_107: デイン
MID_Mカード_出身_108: クリミア
MID_Mカード_出身_109: ガリア
MID_Mカード_出身_110: ベグニオン
MID_Mカード_出身_111: キルヴァス
MID_Mカード_出身_112: ゴルドア
MID_Mカード_出身_113: フェニキス
MID_Mカード_出身_114: イーリス
MID_Mカード_出身_115: フェリア
MID_Mカード_出身_116: ペレジア
MID_Mカード_出身_117: ヴァルム
MID_Mカード_普段_001: 正体不明
MID_Mカード_普段_002: 小学生
MID_Mカード_普段_003: 中学生
MID_Mカード_普段_004: 高校生
MID_Mカード_普段_005: 大学生
MID_Mカード_普段_006: 大学院生
MID_Mカード_普段_007: 社会人
MID_Mカード_普段_008: 主婦
MID_Mカード_普段_009: 無職
MID_Mカード_普段_010: 超エリート
MID_Mカード_普段_011: ダメ人間
MID_Mカード_普段_012: 宇宙人
MID_Mカード_普段_013: 神様
MID_Mカード_普段_014: 王子様
MID_Mカード_普段_015: お姫様
MID_Mカード_普段_016: 貴族
MID_Mカード_普段_017: 庶民
MID_Mカード_普段_018: しがない村人
MID_Mカード_普段_019: 美少女
MID_Mカード_普段_020: 美少年
MID_Mカード_普段_021: 美中年
MID_Mカード_普段_022: おじいちゃん
MID_Mカード_普段_023: おばあちゃん
MID_Mカード_普段_024: 求道者
MID_Mカード_普段_025: 隠遁者
MID_Mカード_普段_026: 栄誉者
MID_Mカード_普段_027: 富裕者
MID_Mカード_普段_028: 博愛者
MID_Mカード_普段_029: 伝説のあの人
MID_Mカード_普段_030: エムブレマー
MID_Mカード_大事_001: 自分
MID_Mカード_大事_002: 家族
MID_Mカード_大事_003: 友達
MID_Mカード_大事_004: 恋人
MID_Mカード_大事_005: ペット
MID_Mカード_大事_006: 時間
MID_Mカード_大事_007: お金
MID_Mカード_大事_008: 仕事
MID_Mカード_大事_009: 趣味
MID_Mカード_大事_010: 睡眠
MID_Mカード_大事_011: 食べ物
MID_Mカード_大事_012: おやつ
MID_Mカード_大事_013: 仲間
MID_Mカード_大事_014: 思い出
MID_Mカード_大事_015: 愛
MID_Mカード_大事_016: 夢
MID_Mカード_大事_017: 正義
MID_Mカード_大事_018: あなた
MID_Mカード_大事_019: 力
MID_Mカード_大事_020: 魔力
MID_Mカード_大事_021: 技
MID_Mカード_大事_022: 速さ
MID_Mカード_大事_023: 幸運
MID_Mカード_大事_024: 守備
MID_Mカード_大事_025: 魔防
MID_Mカード_大事_026: 攻撃
MID_Mカード_大事_027: 必殺
MID_Mカード_大事_028: 命中
MID_Mカード_大事_029: 回避
MID_Mカード_大事_030: 何も無い
