MESS_ARCHIVE_通信


Message Name: Message


MID_LINK_NSD_CONFIRM: 配信データが壊れています。\n配信データを消去します。
MID_CEC_ビジー: すれちがい通信を\n登録できませんでした。\n時間をおいてから実行すると\n成功する可能性があります。
MID_CEC_規約確認: すれちがい通信を利用するには\n最新の利用規約に同意する必要があります。\nすれちがい通信を利用する場合は\n本体設定で『インターネット設定』→\n『その他の情報』→『利用規約の確認』を選び\n最新の利用規約に同意してください。
MID_CEC_保護者制限: 他のユーザーとのすれちがい通信が\n保護者により制限されているため、\nすれちがい通信を利用できません。
MID_CEC_登録失敗: すれちがい通信の\n登録に失敗しました。
MID_CEC_登録確認: 編成したチームとメッセージを\nすれちがい通信で送信しますか？
MID_CEC_上書確認: 他のセーブデータで\nすれちがい通信を設定しています。\n上書きしてもよろしいですか？
MID_CEC_登録中: すれちがい通信設定中。\n本体の電源を切らないでください。
MID_CEC_登録完了: すれちがい通信を設定しました。\nこのゲームを終了しても\nすれちがい通信は自動で行われます。\nすれちがった相手は\nワールドマップの更新時に現れます。
MID_CEC_更新中: ワールド更新中
MID_BOSS_ENTRY_TASK: いつの間に通信を利用して\nおしらせ(広告/宣伝を含む)と\nデータを受信しますか？
MID_BOSS_ENTRY_EXT: いつの間に通信を利用するために\nＳＤカードに追加データを作成しますか？
MID_BOSS_EXTSAVE: ＳＤカードに\n追加データを作成しました。
MID_BOSS_CONFIRM_STOP: いつの間に通信が登録されています。\nいつの間に通信を停止しますか？
MID_BOSS_CONFIRM_TASK: インターネットに繋いで\n現在配信されている\nデータを受信しますか？
MID_BOSS_EXEC_TASK: ダウンロード中です。\nＳＤカードや電源ボタンに\nさわらないでください。
MID_BOSS_CREATE_TASK: いつの間に通信登録中。\nＳＤカードや電源ボタンに\nさわらないでください。
MID_BOSS_CREATE_EXT: 追加データを作成中。\nＳＤカードや電源ボタンに\nさわらないでください。
MID_BOSS_STOP_TASK: いつの間に通信停止中。\nＳＤカードや電源ボタンに\nさわらないでください。
MID_BOSS_MOUNT_TASK: 配信データ確認中
MID_BOSS_RESULT_ENTRY: いつの間に通信を登録しました。
MID_BOSS_RESULT_STOP: いつの間に通信を停止しました。
MID_BOSS_NOT_EULA: いつの間に通信を利用するには\n最新の利用規約に同意する必要があります。\nいつの間に通信を利用する場合は\n本体設定で『インターネット設定』→\n『その他の情報』→『利用規約の確認』を選び\n最新の利用規約に同意してください。
MID_BOSS_NSD_DELETE: 配信データを消去しています。\nＳＤカードや電源ボタンに\nさわらないでください。
MID_BOSS_INIT_NOT_MEDIA: ＳＤカードを認識できませんでした。\nこのため、いつの間に通信を利用できません。\nいつの間に通信を停止しますか？
MID_BOSS_INIT_NOT_WRITE: ＳＤカードが書き込み禁止になっています。\nこのため、いつの間に通信を利用できません。\nいつの間に通信を停止しますか？
MID_BOSS_INIT_NOT_EXT: 追加データがみつかりませんでした。\nこのため、いつの間に通信を利用できません。\nいつの間に通信を停止しますか？
MID_BOSS_NOT_TASK: データを受信する前に\nいつの間に通信を\n登録する必要があります。
MID_BOSS_NOT_RECV: 新しいデータは\n受信できませんでした。
MID_BOSS_ERROR_ENTRY: いつの間に通信の登録に失敗しました。
MID_BOSS_ERROR_STOP: いつの間に通信の停止に失敗しました。
MID_BOSS_NOT_MEDIA: ＳＤカードを認識できませんでした。
MID_BOSS_NOT_WRITE: ＳＤカードが書き込み禁止になっています。\n電源を切ってＳＤカードの\n書き込み禁止スイッチを解除し\n差し直してください。
MID_BOSS_NOT_EXT: 追加データが見つかりませんでした。
MID_BOSS_NOT_STORAGE: いつの間に通信が登録されていません。
MID_BOSS_NOT_DELETE: 配信データの消去に失敗しました。\nいつの間に通信を登録し直してください。
