MESS_ARCHIVE_Menu


Message Name: Message


MID_MENU_確認: 確認
MID_モード選択_タイトル: モード
MID_ゲームレベル_ノーマル: 初めて、久しぶりの方に
MID_ゲームレベル_ハード: 上級者の方に
MID_ゲームレベル_ルナティック: 超上級者の方に
MID_ゲームレベル_ルナティックプラス: 極めている方に
MID_ゲームレベル_クラシック: 失った仲間は戻らない、じっくり考えるモード
MID_ゲームレベル_カジュアル: 失った仲間が復活、どこでもセーブできるモード
MID_ゲームレベルH_モード選択: モード選択
MID_ゲームレベル_ヘルプ: 難易度を選択してください
MID_モード選択_ヘルプ: モードを選んでください
MID_エクストラ: エクストラ
MID_エクストラ_表示名_マーク男: マーク男
MID_エクストラ_表示名_マーク女: マーク女
MID_エクストラ_ムービー回想: ムービー回想
MID_エクストラ_ユニットビューアー: ユニットビューアー
MID_エクストラ_支援会話: 支援会話回想
MID_エクストラ_支援関係タイトル: 支援関係
MID_エクストラ_支援会話_内部ヘルプ元: 支援会話を見たいキャラを選んでください
MID_エクストラ_支援会話_内部ヘルプ先: 支援会話を見たい相手を選んでください
MID_エクストラ_データ初期化: データ全消去
MID_エクストラ_ムービー回想_ヘルプ: ムービー回想ができます
MID_エクストラ_ムービー回想_内部ヘルプ: 見たいムービーを選んでください
MID_エクストラ_ユニットビューアー_ヘルプ: ユニットを見れます
MID_エクストラ_支援会話_ヘルプ: 支援会話を見れます
MID_エクストラ_UV_キャラクター変更: キャラクター変更
MID_エクストラ_UV_背景変更: 背景変更
MID_エクストラ_UV_サウンド変更: サウンド変更
MID_エクストラ_UV_見渡す: 見渡す
MID_エクストラ_UV_選択項目省略記号: ...
MID_エクストラ_UV_キャラクタ選択ヘルプ: 変更したいキャラクターを選んでください
MID_エクストラ_UV_音楽選択ヘルプ: 変更したい曲を選んでください
MID_エクストラ_UV_背景選択ヘルプ: 変更したい背景を選んでください
MID_エクストラ_UV_背景待ちヘルプ: しばらくお待ちください…
MID_エクストラ_UV_下バー: ビューアー
MID_エクストラ_UV_下メニュー題名: 表示情報
MID_エクストラ_UV_下キャラクタ題名: キャラクター
MID_エクストラ_UV_下サウンド題名: サウンド
MID_エクストラ_UV_下背景題名: 背景
MID_エクストラ_UV_アクションボタン名称: アクション
MID_エクストラ_UV_変身ボタン名称: 変身
MID_エクストラ_UV_カメラ操作名称: カメラ操作
MID_エクストラ_UV_アイコンボタン区切り: /
MID_エクストラ_相性占い: 相性占い
MID_エクストラ_相性占い_ヘルプ: 相性を占えます
MID_エクストラ_相性占い_ロードヘルプ: 相性占いを見たいデータを選択してください
MID_エクストラ_データ初期化_ヘルプ: 全てのデータを消去します
MID_エクストラ_データ初期化_確認: データを全消去しますか？
MID_エクストラ_データ初期化_再確認: 本当にデータを全消去しますか？
MID_エクストラ_データ初期化_終了: データを全消去しました
MID_ゲームオーバー_続き確認_1行目: 最後に記録した場所から
MID_ゲームオーバー_続き確認_2行目: やり直しますか？
MID_セーブデータ_データ無し: NO_DATA
MID_セーブデータ_名前不明: NO_NAME
MID_次章セーブ_休憩メッセージ: 疲れを感じる前に\n一休みしましょう
MID_MENU_制圧: 制圧
MID_H_MENU_制圧: マップの要所を制し、\nこの戦場での戦いを終えます
MID_MENU_制圧確認: 次のステージに進みますが、よろしいですか？
MID_MENU_会話: 会話
MID_H_MENU_会話: 隣のユニットと会話します
MID_MENU_攻撃: 攻撃
MID_H_MENU_攻撃: 敵を攻撃します
MID_MENU_杖: 杖
MID_H_MENU_杖: 選択した杖を使用します
MID_MENU_特殊杖確認: $a$a0を使用しますか？
MID_MENU_訪問: 訪問
MID_H_MENU_訪問: 村を訪ねます
MID_MENU_扉: 扉
MID_H_MENU_扉: 扉を開け、通れるようにします
MID_MENU_宝箱: 宝箱
MID_H_MENU_宝箱: 宝箱を開け、\n中身を手に入れます
MID_MENU_踊る: 踊る
MID_H_MENU_踊る: 隣にいる味方を再び行動させます
MID_MENU_持ち物: 持ち物
MID_H_MENU_持ち物: 物を使ったり捨てたりします
MID_MENU_交換: 物交換
MID_H_MENU_交換: 隣の味方と、持ち物を交換します
MID_MENU_輸送隊: 輸送隊
MID_H_MENU_輸送隊: 輸送隊と持ち物を交換します
MID_MENU_共闘: ダブル
MID_H_MENU_共闘: 味方と同じマスに入り、\n味方の能力を強化します
MID_MENU_交代: 交代
MID_H_MENU_交代: ダブル相手と交代します
MID_MENU_人交換: 人交換
MID_H_MENU_人交換: ダブル相手の受け渡しを行います
MID_MENU_降ろす: 降ろす
MID_H_MENU_降ろす: ダブル相手を隣のマスに降ろし、\n別々に行動します
MID_MENU_応援: 応援
MID_H_MENU_応援: 近くにいる味方の能力を上げます
MID_MENU_待機: 待機
MID_H_MENU_待機: ユニットの行動を終了します
MID_MENU_持ち物_装備: 装備
MID_H_MENU_持ち物_装備: 攻撃に使う武器を身につける。
MID_MENU_持ち物_外す: 外す
MID_H_MENU_持ち物_外す: 武器や魔道書をを装備から外す。
MID_MENU_持ち物_並替え: 並替え
MID_H_MENU_持ち物_並替え: 持ち物の順番を変える。
MID_MENU_持ち物_使う: 使う
MID_H_MENU_持ち物_使う: 持ち物を使って効果を引き出す。\n持ち物として使える武器もある。
MID_H_MENU_持ち物_スキルの書_確認: $a$a0を習得しますか？\n（スキルに空きが無い場合は\n　スキル着脱の習得済みスキルに\n　追加されます。）
MID_MENU_持ち物_交換: 物交換
MID_H_MENU_持ち物_交換: 隣のユニットと\n持ち物の受け渡しを行う。
MID_MENU_持ち物_交換_持ち物整理: 交換
MID_H_MENU_持ち物_交換_持ち物整理: 交換
MID_MENU_持ち物_捨てる: 捨てる
MID_H_MENU_持ち物_捨てる: 持ち物を捨てる。\n１度捨てると戻ってこない。
MID_MENU_持ち物_捨てる説明: 持ち物がいっぱいです。\nどれかひとつを\n捨ててください。
MID_MENU_持ち物_送る説明: 持ち物がいっぱいです。\n輸送隊に送る持ち物を\n１つ選んでください。
MID_MENU_持ち物_捨てる確認: $a$a0を本当に捨てますか？
MID_MENU_持ち物_送る確認: $a$a0を輸送隊に送りますか？
MID_MENU_スキル_忘却確認: $a$a0を外しますか？
MID_MENU_スキル_忘却: 持てるスキルが\nいっぱいです。\n外すスキルを\n１つ選んでください。
MID_MENU_クラスチェンジ_確認: $a$a0にクラスチェンジしますか？
MID_MENU_輸送隊_預ける: 預ける
MID_H_MENU_輸送隊_預ける: 持ち物を輸送隊に預ける
MID_MENU_輸送隊_受け取る: 受け取る
MID_H_MENU_輸送隊_受け取る: 持ち物を輸送隊から受け取る
MID_MENU_輸送隊_補充: 補充
MID_H_MENU_輸送隊_補充: 選んだ持ち物の耐久数を増やす\n上限は持ち物の最大耐久数まで\n輸送隊に在庫が無い時は不可
MID_MENU_輸送隊_全補充: 全補充
MID_H_MENU_輸送隊_全補充: 全ての持ち物の耐久数を増やす\n上限は持ち物の最大耐久数まで\n輸送隊に在庫が無い時は不可
MID_MENU_輸送隊_全補充確認: 全補充しますか？
MID_MENU_輸送隊_無し: 何も持っていません
MID_MENU_輸送隊_輸送隊: 輸送隊
MID_MENU_輸送隊_在庫: 在庫
MID_MENU_輸送隊_所有者: 所有者
MID_CONFIG_オフ: オフ
MID_CONFIG_オン: オン
MID_CONFIG_戦闘アニメ: 戦闘アニメ
MID_CONFIG_戦闘アニメ_オフ: オフ
MID_CONFIG_戦闘アニメ_オン: オン
MID_CONFIG_戦闘アニメ_人間ユニット: 自ユニット
MID_CONFIG_戦闘アニメ_人間ターン: 自ターン
MID_CONFIG_戦闘アニメ_個別: 個別
MID_H_CONFIG_戦闘アニメ_オフ: 戦闘アニメを表示しません
MID_H_CONFIG_戦闘アニメ_オン: 戦闘アニメを表示します
MID_H_CONFIG_戦闘アニメ_人間ユニット: 自軍が戦闘に参加する時のみ戦闘アニメを表示します
MID_H_CONFIG_戦闘アニメ_人間ターン: 自軍のターンの時のみ戦闘アニメを表示します
MID_H_CONFIG_戦闘アニメ_個別: ユニットごとに戦闘アニメの表示・非表示を設定します
MID_CONFIG_補助アニメ: 杖・踊りアニメ
MID_CONFIG_補助アニメ_オフ: オフ
MID_CONFIG_補助アニメ_オン: オン
MID_H_CONFIG_補助アニメ_オン: 杖・踊りのアニメを表示します
MID_H_CONFIG_補助アニメ_オフ: 杖・踊りのアニメを表示しません
MID_CONFIG_ゲームスピード: ゲームスピード
MID_CONFIG_ゲームスピード_普通: 普通
MID_CONFIG_ゲームスピード_速い: 速い
MID_CONFIG_ゲームスピード_手動: 手動
MID_H_CONFIG_ゲームスピード_普通: 移動等のゲーム進行スピードを普通程度にします
MID_H_CONFIG_ゲームスピード_速い: 移動等のゲーム進行スピードを速くします
MID_H_CONFIG_ゲームスピード_手動: Ａボタンを押す間、移動等のゲーム進行スピードを速くします
MID_CONFIG_メッセージスピード: メッセージスピード
MID_CONFIG_メッセージスピード_遅い: 遅い
MID_CONFIG_メッセージスピード_普通: 普通
MID_CONFIG_メッセージスピード_速い: 速い
MID_CONFIG_メッセージスピード_最速: 最速
MID_H_CONFIG_メッセージスピード_遅い: メッセージが流れるスピードをゆっくりにします
MID_H_CONFIG_メッセージスピード_普通: メッセージが流れるスピードを普通程度にします
MID_H_CONFIG_メッセージスピード_速い: メッセージが流れるスピードをやや速くします
MID_H_CONFIG_メッセージスピード_最速: メッセージが流れるスピードを最も早くします
MID_CONFIG_カメラ距離: カメラ距離
MID_CONFIG_カメラ距離_近中遠: 近中遠
MID_CONFIG_カメラ距離_近中: 近中
MID_CONFIG_カメラ距離_近遠: 近遠
MID_CONFIG_カメラ距離_中遠: 中遠
MID_H_CONFIG_カメラ距離_近中遠: 画面からマップの距離を近い・通常・遠いの３種で切替えます
MID_H_CONFIG_カメラ距離_近中: 画面からマップの距離を近い・通常の２種で切替えます
MID_H_CONFIG_カメラ距離_近遠: 画面からマップの距離を近い・遠いの２種で切替えます
MID_H_CONFIG_カメラ距離_中遠: 画面からマップの距離を通常・遠いの２種で切替えます
MID_CONFIG_カメラ角度: カメラ角度
MID_CONFIG_カメラ角度_低い: 低い
MID_CONFIG_カメラ角度_普通: 普通
MID_CONFIG_カメラ角度_高い: 高い
MID_CONFIG_カメラ角度_真上: 真上
MID_H_CONFIG_カメラ角度_低い: 地面に近い角度でマップを見ます
MID_H_CONFIG_カメラ角度_普通: 通常の角度でマップを見ます
MID_H_CONFIG_カメラ角度_高い: やや上からの角度でマップを見ます
MID_H_CONFIG_カメラ角度_真上: 真上からの角度でマップを見ます
MID_CONFIG_ＡＩ: ＡＩのスキップ
MID_CONFIG_ＡＩ_オフ: オフ
MID_CONFIG_ＡＩ_移動: 移動
MID_CONFIG_ＡＩ_すべて: すべて
MID_H_CONFIG_ＡＩ_オフ: 敵軍、友軍、おまかせ中の行動を全て表示します
MID_H_CONFIG_ＡＩ_移動: 敵軍、友軍、おまかせ中の移動を表示しません
MID_H_CONFIG_ＡＩ_すべて: 敵軍、友軍、おまかせ中の行動を全て表示しません
MID_CONFIG_敵範囲: 敵範囲表示の固定
MID_CONFIG_敵範囲_すべて: すべて
MID_CONFIG_敵範囲_攻撃のみ: 攻撃のみ
MID_CONFIG_敵範囲_杖のみ: 杖のみ
MID_H_CONFIG_敵範囲_すべて: 敵の攻撃・杖範囲を全て表示します
MID_H_CONFIG_敵範囲_攻撃のみ: 敵の攻撃範囲のみを表示します
MID_H_CONFIG_敵範囲_杖のみ: 敵の杖範囲のみを表示します
MID_CONFIG_攻撃操作: 攻撃操作
MID_CONFIG_攻撃操作_クラシック: クラシック
MID_CONFIG_攻撃操作_アドバンス: アドバンス
MID_H_CONFIG_攻撃操作_クラシック: 攻撃時、先に武器を選んでから敵を選択します
MID_H_CONFIG_攻撃操作_アドバンス: 攻撃時、先に敵を選んでから武器を選択します
MID_CONFIG_かんたんＵＩ: 情報表示
MID_CONFIG_かんたんＵＩ_オフ: 通常
MID_CONFIG_かんたんＵＩ_オン: かんたん
MID_H_CONFIG_かんたんＵＩ_オフ: 通常の情報を表示します
MID_H_CONFIG_かんたんＵＩ_オン: 簡略化した情報を表示します
MID_CONFIG_スライドパッド: スライドパッド
MID_CONFIG_スライドパッド_アナログ: アナログ
MID_CONFIG_スライドパッド_デジタル: デジタル
MID_H_CONFIG_スライドパッド_アナログ: スライドパッド操作特有の滑らかな動きをします
MID_H_CONFIG_スライドパッド_デジタル: 十字ボタン操作のようなやや角ばった動きをします
MID_CONFIG_チュートリアル: チュートリアル
MID_CONFIG_チュートリアル_オフ: オフ
MID_CONFIG_チュートリアル_オン: オン
MID_H_CONFIG_チュートリアル_オフ: チュートリアルを表示しません
MID_H_CONFIG_チュートリアル_オン: チュートリアルを表示します
MID_CONFIG_オートカーソル: 自動カーソル
MID_CONFIG_オートカーソル_オフ: オフ
MID_CONFIG_オートカーソル_オン: オン
MID_H_CONFIG_オートカーソル_オフ: ターン開始時、カーソルは前ターン終了時のままです
MID_H_CONFIG_オートカーソル_オン: ターン開始時、自動的に主人公にカーソルを合わせます
MID_CONFIG_オートターンエンド: 自動ターン終了
MID_CONFIG_オートターンエンド_オフ: オフ
MID_CONFIG_オートターンエンド_オン: オン
MID_H_CONFIG_オートターンエンド_オフ: 「終了」コマンドを選ぶまで自軍ターンを終了しません
MID_H_CONFIG_オートターンエンド_オン: 全員が行動すると自動でターンを終了します
MID_CONFIG_お任せ上級機能: おまかせ上級機能
MID_CONFIG_お任せ上級機能_オフ: オフ
MID_CONFIG_お任せ上級機能_オン: オン
MID_H_CONFIG_お任せ上級機能_オフ: 「おまかせ」コマンドの作戦内容が１種類です
MID_H_CONFIG_お任せ上級機能_オン: 「おまかせ」コマンドの作戦内容を複数から選びます
MID_CONFIG_お任せ確認: おまかせ確認
MID_CONFIG_お任せ確認_オフ: オフ
MID_CONFIG_お任せ確認_オン: オン
MID_H_CONFIG_お任せ確認_オフ: 「おまかせ」コマンド選択時の確認画面を表示しません
MID_H_CONFIG_お任せ確認_オン: 「おまかせ」コマンド選択時に確認画面を表示します
MID_CONFIG_ターン終了確認: ターン終了確認
MID_CONFIG_ターン終了確認_オフ: オフ
MID_CONFIG_ターン終了確認_オン: オン
MID_H_CONFIG_ターン終了確認_オフ: 「終了」コマンド選択時の確認画面を表示しません
MID_H_CONFIG_ターン終了確認_オン: 「終了」コマンド選択時に確認画面を表示します
MID_CONFIG_ＨＰゲージ: ＨＰゲージ
MID_CONFIG_ＨＰゲージ_オフ: オフ
MID_CONFIG_ＨＰゲージ_簡易: 簡易
MID_CONFIG_ＨＰゲージ_詳細: 詳細
MID_H_CONFIG_ＨＰゲージ_オフ: ＨＰゲージを表示しません
MID_H_CONFIG_ＨＰゲージ_簡易: ＨＰゲージを簡易表示します
MID_H_CONFIG_ＨＰゲージ_詳細: ＨＰゲージを詳細表示します
MID_CONFIG_ユニット情報: ユニット簡易情報
MID_H_CONFIG_ユニット情報_オフ: 上画面のユニット簡易情報を表示しません
MID_H_CONFIG_ユニット情報_オン: 上画面のユニット簡易情報を表示します
MID_CONFIG_グリッド: グリッド
MID_H_CONFIG_グリッド: グリッドの濃さを設定します
MID_CONFIG_ズーム: 自動ズーム
MID_H_CONFIG_ズーム_オフ: 自動ズームをなしにします
MID_H_CONFIG_ズーム_オン: 自動ズームをありにします
MID_CONFIG_角度変化: マップの角度変化
MID_H_CONFIG_角度変化_オフ: マップの角度変化をなしにします
MID_H_CONFIG_角度変化_オン: マップの角度変化をありにします
MID_CONFIG_音量BGM: BGM音量
MID_H_CONFIG_音量BGM: ＢＧＭの音量を調整します
MID_CONFIG_音量SE: SE音量
MID_H_CONFIG_音量SE: システムSE以外のSEの音量を調整します
MID_CONFIG_音量SysSE: システムSE音量
MID_H_CONFIG_音量SysSE: システムSEの音量を調整します
MID_CONFIG_音量ボイス: ボイス音量
MID_H_CONFIG_音量ボイス: ボイスの音量を調整します
MID_CONFIG_ボイス再生: イベントボイス
MID_H_CONFIG_ボイス再生_オン: イベント中のボイスを再生します
MID_H_CONFIG_ボイス再生_オフ: イベント中のボイスを再生しません
MID_CONFIG_スピーカーモード: スピーカーモード
MID_H_CONFIG_スピーカーモード_オン: 本体スピーカーにあわせた音声出力設定をします
MID_H_CONFIG_スピーカーモード_オフ: 本体スピーカーにあわせた音声出力設定をしません
MID_CONFIG_BGM: 遭遇戦BGM
MID_CONFIG_BGM_デフォルト: 遠征
MID_CONFIG_BGM_序幕: 序幕
MID_CONFIG_BGM_危機: 暗雲
MID_CONFIG_BGM_使命1: 使命
MID_CONFIG_BGM_使命2: 宿命
MID_CONFIG_BGM_運命: 天命
MID_CONFIG_BGM_絶望: 混沌
MID_CONFIG_BGM_強者: 強者
MID_H_CONFIG_BGM_デフォルト: 遭遇戦の自軍のターンのBGMを「遠征」にします
MID_H_CONFIG_BGM_序幕: 遭遇戦の自軍のターンのBGMを「序幕」にします
MID_H_CONFIG_BGM_危機: 遭遇戦の自軍のターンのBGMを「暗雲」にします
MID_H_CONFIG_BGM_使命1: 遭遇戦の自軍のターンのBGMを「使命」にします
MID_H_CONFIG_BGM_使命2: 遭遇戦の自軍のターンのBGMを「宿命」にします
MID_H_CONFIG_BGM_運命: 遭遇戦の自軍のターンのBGMを「天命」にします
MID_H_CONFIG_BGM_絶望: 遭遇戦の自軍のターンのBGMを「混沌」にします
MID_H_CONFIG_BGM_強者: 遭遇戦の自軍のターンのBGMを「強者」にします
MID_CONFIG_リセット: 初期設定に戻す
MID_H_CONFIG_リセット: すべての設定を初期状態に戻します
MID_CONFIG_リセット確認: すべての設定を初期状態に戻しますか？
MID_CONTACT_強さをみる: 強さをみる
MID_CONTACT_スカウト: スカウト
MID_CONTACT_戦う: 戦う
MID_CONTACT_持ち物を買う: 持ち物を買う
MID_CONTACT_別れを告げる: 別れを告げる
MID_CONTACT_戻る: 戻る
MID_CONTACT_名声値: 名声値：
MID_CONTACT_軍: 軍
MID_CONTACT_一覧: 一覧
MID_CONTACT_強さをみる説明: 相手の軍のメンバー表を見て強さを調べることができます。
MID_CONTACT_スカウト確認: $a$a0Ｇで相手軍の\nリーダーを仲間にしますか？\n（持ち物は引き継げません）
MID_CONTACT_スカウト確認_上書き: $a$a0Ｇで相手軍の\nリーダーを仲間にしますか？\n同じユニットは\n上書きすると消去されます。
MID_CONTACT_スカウト確認_オーバー: $a$a0Ｇで相手軍の\nリーダーを仲間にしますか？\nこれ以上仲間にできないため、\n誰かと別れる必要があります。
MID_CONTACT_自身をスカウト: このユニットを\n仲間にすることはできません。
MID_CONTACT_課金兵種: このユニットを仲間にするためには\n異界の門にて新兵種を\n入手する必要があります。
MID_CONTACT_T_仲間削除: 仲間選択
MID_CONTACT_仲間削除: これ以上\n仲間にできません。\n別れる仲間を\n選んでください。
MID_CONTACT_仲間削除確認: 本当に別れますか？\n（マイユニ名鑑が９９を超えると、\n　ロックしていないマイユニットのうち\n　雇用価格が最も低い１人が\n　名鑑から自動削除されます）
MID_CONTACT_仲間削除結果: 仲間と別れました
MID_CONTACT_T_ユニット再加入: ユニット再加入
MID_CONTACT_ユニット再加入: 仲間にする\nユニットを\n選んでください。
MID_CONTACT_ユニット再加入確認: このユニットを仲間にしますか？\n古いデータは消去されます。
MID_CONTACT_ユニット再加入結果: 仲間を入れ替えました
MID_CONTACT_ユニット再加入_キャンセル: チームのユニットをそのまま残しました
MID_CONTACT_T_名鑑上書き: 名鑑上書き
MID_CONTACT_名鑑上書き: 名鑑に\n強さを上書きする\nユニットを\n選んでください。
MID_CONTACT_名鑑上書き確認: このユニットを\n名鑑に上書きしますか？\n古いデータは消去されます。
MID_CONTACT_名鑑上書き結果: 名鑑を上書きしました
MID_CONTACT_名鑑上書き_キャンセル: 強さの上書きをキャンセルしました
MID_CONTACT_名鑑削除: 削除
MID_CONTACT_名鑑削除_確認: 本当に削除しますか？
MID_CONTACT_名鑑削除_結果: 名鑑から削除しました
MID_CONTACT_T_名鑑新規登録: 登録
MID_CONTACT_名鑑新規登録: 登録
MID_CONTACT_名鑑新規登録_説明: 新たに名鑑に\n登録するユニットを\n選んでください
MID_CONTACT_名鑑新規登録_満員: 名鑑に空きがありません
MID_CONTACT_名鑑新規登録_登録済み: 登録可能なユニットが存在しません
MID_CONTACT_名鑑新規登録_結果: 名鑑に登録しました
MID_CONTACT_名鑑新規登録_キャンセル: 登録をやめました
MID_CONTACT_金不足: お金がたりません
MID_CONTACT_戦闘確認: 戦闘を行いますか？\n勝つと敵軍リーダーを仲間にできます。\n持ち物は引き継げません。\n（難易度に応じて敵は強化されます）
MID_CONTACT_戦闘確認_上書き: 敵軍リーダーをすでに仲間にしているため\n勝つと強さを上書きできます。\n戦闘を行いますか？\n（難易度に応じて敵は強化されます）
MID_CONTACT_戦闘確認_オーバー: 仲間がいっぱいのため、新たに仲間に\nするには誰か１人と別れる必要があります。\n戦闘を行いますか？\n（難易度に応じて敵は強化されます）
MID_CONTACT_自身と戦闘: この敵軍リーダーを\n仲間にすることはできません。\n戦闘を行いますか？\n（難易度に応じて敵は強化されます）
MID_CONTACT_課金兵種戦闘: この敵軍リーダーを倒して\n仲間にするためには異界の門にて\n新兵種を入手する必要があります。\n戦闘を行いますか？\n（難易度に応じて敵は強化されます）
MID_CONTACT_持ち物を買う確認: 相手軍の持ち物を\n買いますか？\n買い物終了後、\n相手軍は立ち去ります。
MID_CONTACT_買えるアイテムがない: このチームから買うことが\nできる持ち物がありません。
MID_CONTACT_別れ確認: 別れを告げますか？\n別れを告げると\n相手軍は立ち去ります。
MID_CONTACT_別れる: $a$a0と別れた
MID_CONTACT_仲間入り確認: $a$a0を仲間にしますか？\n（仲間にしない場合でも\n　マイユニ名鑑には追加されます）
MID_CONTACT_仲間入り結果: $a$a0を仲間にした
MID_SORTIE_進撃準備: 進撃準備
MID_SORTIE_ユニット選択: ユニット選択
MID_H_SORTIE_ユニット選択: 出撃するユニットを選択できます
MID_SORTIE_マップ・配置: マップ・配置
MID_H_SORTIE_マップ・配置: マップを確認、出撃ユニットの配置を変更できます
MID_SORTIE_持ち物整理: 身支度
MID_H_SORTIE_持ち物整理: ユニットの持ち物を整理できます
MID_SORTIE_スキル着脱: スキル着脱
MID_H_SORTIE_スキル着脱: ユニットのスキルを着脱できます
MID_H_SORTIE_一括整理: ユニットの持ち物を一括で整えることができます
MID_SORTIE_武器屋: 武器屋
MID_H_SORTIE_武器屋: 武器屋でユニットの持ち物を売買できます
MID_SORTIE_支援会話: 支援会話
MID_H_SORTIE_支援会話: ユニット同士の絆を深める会話ができます
MID_SORTIE_マイルーム: みんなの部屋
MID_H_SORTIE_マイルーム: ユニットたちの様子や、紹介を見ることができます
MID_SORTIE_通信: 通信
MID_H_SORTIE_通信: 通信を行ったり、通信のボーナスを入手できます
MID_SORTIE_環境設定: 環境設定
MID_H_SORTIE_環境設定: ゲームをプレイする環境を設定できます
MID_SORTIE_記録: セーブ
MID_H_SORTIE_記録: 現在のプレイ状況を保存できます
MID_SORTIE_戻る: 戻る
MID_H_SORTIE_戻る: ワールドマップに戻ることができます
MID_SORTIE_戻る確認: 戻りますか？
MID_SORTIE_編成終了: 戦闘開始
MID_H_SORTIE_編成終了: 編成を終了し、戦闘を開始します
MID_SORTIE_編成終了確認: 戦闘を開始しますか？
MID_SORTIE_持ち物整理_持ち物: 持ち物
MID_SORTIE_持ち物整理_リスト: 全持ち物リスト
MID_SORTIE_スキル着脱_外す: 外す
MID_H_SORTIE_スキル着脱_外す: 外す
MID_SORTIE_スキル着脱_並替え: 並替え
MID_H_SORTIE_スキル着脱_並替え: 並替え
MID_SORTIE_スキル着脱_装備: 装備
MID_H_SORTIE_スキル着脱_装備: 装備
MID_SORTIE_スキル着脱_交換: 交換
MID_H_SORTIE_スキル着脱_交換: 交換
MID_SORTIE_スキル着脱_習得済みスキル: 習得済みスキル
MID_SORTIE_スキル着脱_無し: 何も装備していません
MID_SORTIE_スキル着脱_無し２: 全て装備済みです
MID_SORTIE_一括整理: おまかせ
MID_SORTIE_一括整理_おまかせ整理: おまかせ整理
MID_H_SORTIE_一括整理_おまかせ整理: 出撃ユニットの持ち物をおまかせで整理します
