MESS_ARCHIVE_相性占い


Message Name: Message


MID_占_爺_人数不足: 仲間が少なすぎるぞい！
MID_占_愛好_男女C: 人の物は良く見えるのかのぅ
MID_占_愛好_夫婦: とても仲の良い夫婦じゃ
MID_占_愛好_親子: 親子の絆が強いようじゃの
MID_占_愛好_兄弟: 両親も驚きの仲の良さじゃ！
MID_占_愛嫌_女女: 片方の腹の中が真っ黒じゃ
MID_占_愛嫌_男男: 片方が妙な気持ちを抱いておるぞ
MID_占_愛嫌_男女A: 片想いにもほどがあるぞ！
MID_占_愛嫌_男女B: そいつのことは諦めた方が良いぞ
MID_占_愛嫌_男女C: 不倫には発展しなさそうじゃの
MID_占_愛嫌_夫婦: 片方がよっぽど我慢しとるようじゃ
MID_占_愛嫌_親子: 家庭内で何があったんじゃ
MID_占_愛嫌_兄弟: 理解に苦しむきょうだい関係じゃ
MID_占_好好_女女: 理想的な友情じゃな
MID_占_好好_男男: 気の合う仲間のようじゃ
MID_占_好好_男女A: 異性の友達として良い関係じゃ
MID_占_好好_男女B: 良い友達のようじゃな
MID_占_好好_男女C: 結婚しても変わらぬ友情じゃな
MID_占_好好_夫婦: 友達のような夫婦関係じゃな
MID_占_好好_親子: 仲の良い親子じゃの
MID_占_好好_兄弟: 微笑ましいきょうだい関係じゃ
MID_占_好嫌_女女: 見事に一方通行の友情じゃの
MID_占_好嫌_男男: 片方が距離を置いておるのぅ
MID_占_好嫌_男女A: 友情すら成り立っておらんぞ
MID_占_好嫌_男女B: あまり仲が良くないようじゃ
MID_占_好嫌_男女C: 上辺だけいい顔をしておるのぅ
MID_占_好嫌_夫婦: 片方が完全に冷めておるぞ…
MID_占_好嫌_親子: ギスギスした親子関係じゃの
MID_占_好嫌_兄弟: きょうだい喧嘩の予感がするわい
MID_占_嫌嫌_女女: 女の友情なんてこんなもんじゃ
MID_占_嫌嫌_男男: 仲が悪すぎて大笑いじゃ
MID_占_嫌嫌_男女A: 絶望的に合わないようじゃの
MID_占_嫌嫌_男女B: 二人の過去を勘繰ってしまうのぅ
MID_占_嫌嫌_男女C: 結婚前に何かあったのかのぅ…
MID_占_嫌嫌_夫婦: これが倦怠期というやつじゃ
MID_占_嫌嫌_親子: か、家庭崩壊の危機じゃー！
MID_占_嫌嫌_兄弟: ご両親に相談じゃー！
