MESS_ARCHIVE_レベルアップ


Message Name: Message


MID_レベルアップ1_プレイヤー男_PCM1: …あまり\n変わらなかったな。
MID_レベルアップ3_クロム: よし…かなり\n強くなった！
MID_レベルアップ4_クロム: もう俺は\n誰にも負けん…！！
MID_クラスチェンジ_クロム: ここから、\nもっと強くなってみせる！
MID_カンスト_クロム: ここまで成長すると\nさすがに上がらんな。
MID_レベルアップ1_フレデリク: すみません、\nもっと精進しますね。
MID_レベルアップ2_フレデリク: このくらいの成長は\n騎士として当然です。
MID_レベルアップ3_フレデリク: こんなに成長するとは\n思いませんでした…！
MID_レベルアップ4_フレデリク: この力で、皆様を\nお守り致します！
MID_クラスチェンジ_フレデリク: 今後とも変わらず\n皆様をお守りします！
MID_カンスト_フレデリク: 今の兵種では、そろそろ\n成長も限界ですね。
MID_レベルアップ1_ソール: ご、ごめんね。\nもっと頑張るよ…。
MID_レベルアップ2_ソール: 良かった…！\n成長できた…！
MID_レベルアップ3_ソール: や、やった…！\nかなり強くなれたよ！
MID_レベルアップ4_ソール: 今までの僕より\nずっと強くなれたよ！
MID_クラスチェンジ_ソール: よし、ここから\nまたがんばろう！
MID_カンスト_ソール: いつの間にか、僕も\n結構強くなってたんだね。
MID_レベルアップ1_カラム: …こんなところまで\n目立たないなんて…。
MID_レベルアップ2_カラム: …ちょっとだけ\n強くなれたよ…。
MID_レベルアップ3_カラム: 何だろう…。\n力がわいてくるよ…。
MID_レベルアップ4_カラム: これなら、みんなに\n気付いてもらえる…。
MID_クラスチェンジ_カラム: 新しくなった僕のこと…\nみんな気づくかな…
MID_カンスト_カラム: もう伸びしろはあんまり\nないね…どうしようかな。
MID_レベルアップ1_リヒト: もっと頑張らないと\nダメだなぁ…。
MID_レベルアップ2_リヒト: どんどん強く\nなれたらいいなー！
MID_レベルアップ3_リヒト: 前よりも大人に\nなった気がするよー！
MID_レベルアップ4_リヒト: これでもう子供扱い\nされないね！！
MID_クラスチェンジ_リヒト: これが大人になるって\nことなのかな？
MID_カンスト_リヒト: いつの間にか、\n強くなりすぎちゃった？
MID_レベルアップ1_ヴェイク: 俺様としたことが\n微妙だぜー！！
MID_レベルアップ2_ヴェイク: 強くなったぜー！\n俺様すごい！！
MID_レベルアップ3_ヴェイク: 今までの俺様とは\n一味違うぜー！！
MID_レベルアップ4_ヴェイク: もう誰も、俺様には\n敵わねぇぜー！！
MID_クラスチェンジ_ヴェイク: 生まれ変わった\n俺様を見てくれよな！
MID_カンスト_ヴェイク: 参ったな！　俺様\nもうすでに強すぎだぜ！
MID_レベルアップ1_リベラ: 神よ…なぜあまり\n変わらないのですか。
MID_レベルアップ2_リベラ: 神よ…\n感謝致します…。
MID_レベルアップ3_リベラ: 日々のお祈りの\n成果でしょうか。
MID_レベルアップ4_リベラ: 生まれ変わったような\n清々しい気分です…。
MID_クラスチェンジ_リベラ: 心が洗われるような\n不思議な気持ちです…
MID_カンスト_リベラ: いつの間にか、ここまで\n成長していたのですね。
MID_レベルアップ1_ロンクー: ………。
MID_レベルアップ2_ロンクー: …まぁまぁだな。
MID_レベルアップ3_ロンクー: …よし。
MID_レベルアップ4_ロンクー: 俺はまだまだ\n上を目指す…。
MID_クラスチェンジ_ロンクー: …この姿で\nいるのも悪くない。
MID_カンスト_ロンクー: まだ、俺は上を目指す。
MID_レベルアップ1_グレゴ: いやー、微妙だな。\n次はもっと頑張るわ。
MID_レベルアップ2_グレゴ: 結構強く\nなったんじゃねーか？
MID_レベルアップ3_グレゴ: なーんか力が\nみなぎってきたぞー。
MID_レベルアップ4_グレゴ: いやー、この年でも\n成長できるんだな！
MID_クラスチェンジ_グレゴ: おー、若返ったような\n清々しい気分だぜ。
MID_カンスト_グレゴ: いやー。\nもう十分強いよな。
MID_レベルアップ1_ガイア: …ふん。俺も、\nまだまだ甘いな。
MID_レベルアップ2_ガイア: ま、こんなもんだな。
MID_レベルアップ3_ガイア: 糖分さえあれば、\nこれぐらいは余裕だ。
MID_レベルアップ4_ガイア: 結構強くなったな。\n報酬弾んでくれよ？
MID_クラスチェンジ_ガイア: 俺をどう使うかは\n雇い主次第だ。
MID_カンスト_ガイア: 成長も\nそろそろ打ち止めか。
MID_レベルアップ1_ヴィオール: なんと！　あまり\n変わらなかったね。
MID_レベルアップ2_ヴィオール: 貴族的にはこれくらい\n当然だよ…。
MID_レベルアップ3_ヴィオール: 成長したよ。\n美しく、華麗にね。
MID_レベルアップ4_ヴィオール: あぁ…皆の羨望の\n眼差しが痛い…。
MID_クラスチェンジ_ヴィオール: これが貴族の真の姿、\nというわけだよ。
MID_カンスト_ヴィオール: ふっ、私はあまりにも\n強くなりすぎたようだ。
MID_レベルアップ1_ヘンリー: あはは、あんまり\n変わってないや～。
MID_レベルアップ2_ヘンリー: やった～。\n強くなったよ～。
MID_レベルアップ3_ヘンリー: あはは！　なんか\n力がわいてきたよ～！
MID_レベルアップ4_ヘンリー: 今なら何だって\n呪えちゃうよ～。
MID_クラスチェンジ_ヘンリー: あはは！　プルフの力って\n面白いよね～。
MID_カンスト_ヘンリー: あはは。さすがにもう\nあんまり伸びないよねー。
MID_レベルアップ1_ドニ: すまねぇ…。おら、\nもっと頑張るべ。
MID_レベルアップ2_ドニ: もっと強くなって\n皆の力になるべ…！
MID_レベルアップ3_ドニ: おらだって、\n強くなれるんだべ！
MID_レベルアップ4_ドニ: これで皆と同じように\n戦えるべ！！
MID_クラスチェンジ_ドニ: 生まれ変わったみたいな\n不思議な気分だべ…
MID_カンスト_ドニ: ここまで強くなれたら\nおらもう満足だべ。
MID_レベルアップ1_スミア: すみません…\n私、落ちこぼれで…！
MID_レベルアップ2_スミア: 良かった…\n強くなれました…。
MID_レベルアップ3_スミア: こんなに成長できて\n嬉しいです…！
MID_レベルアップ4_スミア: 私、もっともっと\n頑張りますね！
MID_クラスチェンジ_スミア: 私、これからも\nがんばりますから…
MID_カンスト_スミア: 私でも、がんばれば\nここまで成長できました…
MID_レベルアップ1_リズ: もっと頑張んないと\nいけないね。
MID_レベルアップ2_リズ: やったぁ、\n強くなったよー！
MID_レベルアップ3_リズ: わたしだって\nやればできるんだよ！
MID_レベルアップ4_リズ: わたしも、一緒に\n戦うんだもん…！
MID_クラスチェンジ_リズ: じゃーん！\n似合ってるでしょ。
MID_カンスト_リズ: $Nuさんのおかげで\nここまで強くなれたよ。
MID_レベルアップ1_ソワレ: もっと鍛錬しないと\nいけなかったか…？
MID_レベルアップ2_ソワレ: もっと強くならないと\nいけないね。
MID_レベルアップ3_ソワレ: 前よりも強くなれて\n嬉しいよ。
MID_レベルアップ4_ソワレ: もっと鍛錬して\n上を目指さないとね。
MID_クラスチェンジ_ソワレ: 身が引き締まる思いだよ。\nここからもっと頑張ろう！
MID_カンスト_ソワレ: いつの間にか、ボクも\n結構強くなってたんだね。
MID_レベルアップ1_マリアベル: どうしてもっと\n上がりませんの…？
MID_レベルアップ2_マリアベル: このくらいは\n当然ですの。
MID_レベルアップ3_マリアベル: もっともっと強く\nなりたいですわ。
MID_レベルアップ4_マリアベル: わたくしに近づくと\nケガしますわよ？
MID_クラスチェンジ_マリアベル: これが、新しい\nわたくしの姿ですわ！
MID_カンスト_マリアベル: ここまで強くなれば\nもう十分ですわ。
MID_レベルアップ1_ティアモ: 次はもっと\n強くなってみせるわ。
MID_レベルアップ2_ティアモ: 良かった、\n強くなれたわ。
MID_レベルアップ3_ティアモ: あら？　思ったより\n強くなったみたい。
MID_レベルアップ4_ティアモ: これも全部\nあの人のため…。
MID_クラスチェンジ_ティアモ: ここからまた経験を積んで\n強くならなくちゃ。
MID_カンスト_ティアモ: ここからもっと\n強くなるには…
MID_レベルアップ1_ベルベット: もう少し上がって\n欲しかったわね…。
MID_レベルアップ2_ベルベット: 成長できて\n良かったわ。
MID_レベルアップ3_ベルベット: これだけ強くなれば\n満足だわ。
MID_レベルアップ4_ベルベット: タグエルの名に\n恥じない成長だわ。
MID_クラスチェンジ_ベルベット: プルフというのは…\n不思議なものね。
MID_カンスト_ベルベット: 肉体はもう限界まで\n鍛えられてるわ。
MID_レベルアップ1_ノノ: ノノ、もっと\n強くなりたかったなー。
MID_レベルアップ2_ノノ: やったぁ！\nノノ強くなったよ！
MID_レベルアップ3_ノノ: すごいすごい！\nたくさん成長したの！
MID_レベルアップ4_ノノ: ノノ、今なら何でも\nできそうな気分だよ！
MID_クラスチェンジ_ノノ: 見て見てー！\nノノ、すごいでしょ。
MID_カンスト_ノノ: ノノ、もう十分強いから\n伸びなくてもいいもん！
MID_レベルアップ1_オリヴィエ: あ…あんまりがっかり\nしないで下さいー！
MID_レベルアップ2_オリヴィエ: や…やりました！\n強くなれました…！
MID_レベルアップ3_オリヴィエ: これでもっと皆さんの\nお役に立てます…！
MID_レベルアップ4_オリヴィエ: こんなに成長して\n恥ずかしいですー！
MID_クラスチェンジ_オリヴィエ: あ、あんまり見られると\n恥ずかしいですー！
MID_カンスト_オリヴィエ: 踊ってばかりいたら\nこんなに強くなれました！
MID_レベルアップ1_セルジュ: あらあら…。\nごめんなさいね。
MID_レベルアップ2_セルジュ: うふふ、まぁ\nこんなものね。
MID_レベルアップ3_セルジュ: あら、前よりも強く\nなれたみたいね。
MID_レベルアップ4_セルジュ: ミネルヴァちゃんより\n強くなれたかしら？
MID_クラスチェンジ_セルジュ: 気分転換には\nちょうどいいかしら。
MID_カンスト_セルジュ: 成長しすぎたかしら。\n服がきつくなってきたわ。
MID_レベルアップ1_ミリエル: 現状維持、という\nことですね…。
MID_レベルアップ2_ミリエル: なかなか良い\n成果ですね。
MID_レベルアップ3_ミリエル: 我ながら素晴らしい\n成長です。
MID_レベルアップ4_ミリエル: 現状に甘んじるという\nことはしません。
MID_クラスチェンジ_ミリエル: これがプルフの魔力…\nとても興味深いです。
MID_カンスト_ミリエル: 私の計算が正しければ、\n成長の限界が近いです。
MID_レベルアップ1_サーリャ: ちっ…。あんまり\n変わらなかったわね。
MID_レベルアップ2_サーリャ: ふふふ…。\n強くなったわ…。
MID_レベルアップ3_サーリャ: 私…まだまだ\n強くなるわ…。
MID_レベルアップ4_サーリャ: ふ、ふふふ…\nうふふふふ…！！
MID_クラスチェンジ_サーリャ: このプルフの力で\n私は…ふふふふ。
MID_カンスト_サーリャ: ここまで育っていれば\n$Nuも…ふふふ。
MID_レベルアップ1_ジェローム: …あまり\n変わらなかったか。
MID_レベルアップ2_ジェローム: まずまずの\n成長だな。
MID_レベルアップ3_ジェローム: 強くなることは\n…悪くない。
MID_レベルアップ4_ジェローム: ミネルヴァ、お前も\n喜んでくれるのか？
MID_クラスチェンジ_ジェローム: これは…\nさらなる力を得るため。
MID_カンスト_ジェローム: このあたりが成長の\n限界ということか…
MID_レベルアップ1_ウード: 邪悪な力が、俺の\n成長を妨げている…！
MID_レベルアップ2_ウード: ふっ…。この程度、\n俺にとっては当然だ。
MID_レベルアップ3_ウード: 真の力が解放された…\n…とでも言おうか。
MID_レベルアップ4_ウード: くっ…何だ…！？\n力が湧き出てくる…！
MID_クラスチェンジ_ウード: 覚醒した俺の力、\nよく見るがいい…！
MID_カンスト_ウード: 俺の力はすでに無限…\nもう成長の必要はないな。
MID_レベルアップ1_アズール: やばい、こんなんじゃ\n女の子にモテないよ！
MID_レベルアップ2_アズール: 良かった。\nまた強くなれたよ。
MID_レベルアップ3_アズール: やったぁ。思ったより\nずっと強くなれたよ。
MID_レベルアップ4_アズール: 可愛いお姉さーん、\n見てますかー？
MID_クラスチェンジ_アズール: これで、女の子にも\nモテモテだね！
MID_カンスト_アズール: これだけ強くなってたら\nもう良いよね？
MID_レベルアップ1_ブレディ: …なんで、もっと\n上がらねぇんだよ。
MID_レベルアップ2_ブレディ: よし。ちょっとは\n強くなれたみてぇだ。
MID_レベルアップ3_ブレディ: 俺にしちゃ\n上出来だな。
MID_レベルアップ4_ブレディ: どんな奴でも\nかかって来やがれ！
MID_クラスチェンジ_ブレディ: こうなった俺は\n一味違うぜ。
MID_カンスト_ブレディ: 俺でもここまで\n強くなれるのか…
MID_レベルアップ1_シャンブレー: 全然成長してない！\n絶滅するー！！
MID_レベルアップ2_シャンブレー: やった！\nちょっと強くなったぞ！
MID_レベルアップ3_シャンブレー: これだけ強くなれば\nひと安心だな！
MID_レベルアップ4_シャンブレー: タグエルの未来は\n明るいぞー！
MID_クラスチェンジ_シャンブレー: 母ちゃん！\n見ててくれよな！
MID_カンスト_シャンブレー: きっともう、タグエルの\n限界まで強くなってる。
MID_レベルアップ1_ロラン: …すみません。\nもっと頑張りますね。
MID_レベルアップ2_ロラン: 良い成果が\n出てくれたようです。
MID_レベルアップ3_ロラン: 予想以上の成果を\n上げられました。
MID_レベルアップ4_ロラン: これも、日々の\n積み重ねの賜物です。
MID_クラスチェンジ_ロラン: プルフの力…\n素晴らしいですね。
MID_カンスト_ロラン: 僕の分析では、\nそろそろ成長の限界です。
MID_レベルアップ1_マーク男: うぅ…思ったより\n上がりませんでした！
MID_レベルアップ2_マーク男: よーし、また少し\n強くなれましたよ！
MID_レベルアップ3_マーク男: 軍師の夢に\n一歩近づきました！
MID_レベルアップ4_マーク男: 母さん、見てる？\n僕、頑張りました…！
MID_クラスチェンジ_マーク男: 今の僕、\n母さんに似てますか？
MID_カンスト_マーク男: これから、母さんみたいに\n色々経験してみよう！
MID_レベルアップ1_マルス: もっと強くならないと\nいけないのに…！
MID_レベルアップ2_マルス: 良かった…！\nまた強くなれました。
MID_レベルアップ3_マルス: この調子で、\nもっともっと強く…。
MID_レベルアップ4_マルス: もう誰も…\n死なせはしません…！
MID_クラスチェンジ_マルス: この力で、私は\nもっと強くならなければ。
MID_カンスト_マルス: ここまで強くなれば、\n未来も変えられるかも…
MID_レベルアップ1_デジェル: 鍛錬が足りなかった\nかしら…？
MID_レベルアップ2_デジェル: まずまずの成長ね。\nもっと頑張りましょ。
MID_レベルアップ3_デジェル: 強くなることは\n最高の喜びだわ。
MID_レベルアップ4_デジェル: 女でもこれぐらい\n強くなれるのよ！
MID_クラスチェンジ_デジェル: ここから、新たな\n修行の道の始まり！
MID_カンスト_デジェル: 能力はほぼ極めたみたい。\nでも、まだまだ！
MID_レベルアップ1_シンシア: ありゃ…ヒーローの\n道は遠いなぁー。
MID_レベルアップ2_シンシア: 千里の道も\n一歩から、だよね！
MID_レベルアップ3_シンシア: うん！　なかなか\nいい感じだよー！
MID_レベルアップ4_シンシア: すごーい、こんなに\nパワーアップしたよ！
MID_クラスチェンジ_シンシア: ヒーローに\nまた一歩近づいた感じ！
MID_カンスト_シンシア: 今までがんばってきたから\nこんなに育ってるんだね！
MID_レベルアップ1_セレナ: なによ！　もっと\n上がりなさいよー！
MID_レベルアップ2_セレナ: あたしにしては\nよくやった方よね！
MID_レベルアップ3_セレナ: 別に…嬉しくなんか\nないんだから…。
MID_レベルアップ4_セレナ: 少しは母さんに\n近付けたかしら…。
MID_クラスチェンジ_セレナ: べ、別に何も\n変わってないけど。
MID_カンスト_セレナ: ふん。もう十分強いんだから\n上がらなくたって平気よ。
MID_レベルアップ1_ノワール: ひいぃ…！\n全然変わってない…！
MID_レベルアップ2_ノワール: 少し、強くなった…。\nよ…良かった…。
MID_レベルアップ3_ノワール: 私でも…ここまで\n成長できるのね…。
MID_レベルアップ4_ノワール: こんなに強くなって…\nな、何かの呪い…！？
MID_クラスチェンジ_ノワール: ひぃ…！　プルフを\n使ったらこんなことに…！
MID_カンスト_ノワール: ひいぃ…！\nなぜか成長しにくい…！
MID_レベルアップ1_ンン: ごめんなさいです。\nもっと頑張るです。
MID_レベルアップ2_ンン: 強くなったです。\n嬉しいのです。
MID_レベルアップ3_ンン: 私、もっと強い子に\nなれたですね。
MID_レベルアップ4_ンン: 今ならどんな奴でも\n丸飲みできそうです。
MID_クラスチェンジ_ンン: プルフの力って\n不思議なのです。
MID_カンスト_ンン: 戦ってばかりいたら\n強くなっちゃったのです。
MID_レベルアップ1_マーク女: うぅ…思ったより\n上がりませんでした！
MID_レベルアップ2_マーク女: よーし、また少し\n強くなれましたよ！
MID_レベルアップ3_マーク女: 軍師の夢に\n一歩近づきました！
MID_レベルアップ4_マーク女: 父さん、見てる？\n私、頑張りました…！
MID_クラスチェンジ_マーク女: 今の私、\n父さんに似てる？
MID_カンスト_マーク女: これから、父さんみたいに\n色々経験してみよう！
MID_レベルアップ1_パリス: …むぅ。鍛錬が\n足りなかったか…？
MID_レベルアップ2_パリス: …まだ戦い足りんな。
MID_レベルアップ3_パリス: 強くなる瞬間は\n気分がいい…。
MID_レベルアップ4_パリス: 俺は強くなる。\n誰よりも…強く。
MID_クラスチェンジ_パリス: これも、さらなる高みへ\n至るための道か…
MID_カンスト_パリス: 今の兵種では限界だ。\nさて、どうするか…
MID_レベルアップ1_バジーリオ: わりぃな。俺はもう\n伸びしろがねぇんだ。
MID_レベルアップ2_バジーリオ: おっ！　まぁまぁ\n強くなったみてぇだ！
MID_レベルアップ3_バジーリオ: 俺もまだまだ\n現役ってことだな！
MID_レベルアップ4_バジーリオ: 若造たちには\n負けてらんねぇぜ！
MID_クラスチェンジ_バジーリオ: 若い頃の熱さが\nよみがえって来たぜ！
MID_カンスト_バジーリオ: さすがに年だ。\nもう伸びしろがねえな。
MID_レベルアップ1_レンハ: あまり変わらぬか…。\nかたじけない…。
MID_レベルアップ2_レンハ: 腕が上がったのを\n感じるな…。
MID_レベルアップ3_レンハ: まだ、これほどまでに\n強くなれるとは…。
MID_レベルアップ4_レンハ: サイリ…\n見守っていてくれ…。
MID_クラスチェンジ_レンハ: …プルフとやらの力、\n驚かされる。
MID_カンスト_レンハ: 死人も同然の私が\n随分腕を上げたものだ…
MID_レベルアップ1_ヴァルハルト: …む。\nあまり変わらぬか。
MID_レベルアップ2_ヴァルハルト: まずまずの\n成果であろう。
MID_レベルアップ3_ヴァルハルト: ふむ…\n悪くない気分だな。
MID_レベルアップ4_ヴァルハルト: …まだ、足りぬ。\n我の強さは、まだ…！
MID_クラスチェンジ_ヴァルハルト: 力を得るためならば\n手段は選ばぬ！
MID_カンスト_ヴァルハルト: この限界を超える\nすべはないものか…
MID_レベルアップ1_ギャンレル: なんだなんだ！？\nもっと上がれよ！
MID_レベルアップ2_ギャンレル: 俺はこれぐらいじゃ\n満足しねぇぞ？
MID_レベルアップ3_ギャンレル: んー、なかなか\n気分いいねェ！
MID_レベルアップ4_ギャンレル: ギャハハハハッ！\n最っ高だぜぇ！
MID_クラスチェンジ_ギャンレル: 生まれ変わったって\nやつだぜ！
MID_カンスト_ギャンレル: こんだけ強くなってりゃ\nもう十分ってもんだろ？
MID_レベルアップ1_サイリ: …すまぬ。あまり\n変わらなかったな…。
MID_レベルアップ2_サイリ: まだだ…もっと\n強くならねば…。
MID_レベルアップ3_サイリ: この力は…\n皆のために…！
MID_レベルアップ4_サイリ: このような気分は\n久しぶりだ…。
MID_クラスチェンジ_サイリ: 心機一転。気持ちを\n新たにいざ参ろう！
MID_カンスト_サイリ: ここまでの高みに至れた…\nひとえに仲間のおかげ。
MID_レベルアップ1_アンナ: たまにはこんなことも\nあるわよね！
MID_レベルアップ2_アンナ: あたし、どこまで\n強くなるのかしら？
MID_レベルアップ3_アンナ: 断然やる気が\n出てきたわ！
MID_レベルアップ4_アンナ: 売り上げもこれくらい\n上がってくれたらね。
MID_クラスチェンジ_アンナ: 今後とも\nごひいきにね。
MID_カンスト_アンナ: もうかりすぎてお財布が\nぱんぱんって感じね。
MID_レベルアップ1_チキ: …もう三千歳だもの。\n仕方ないわ…。
MID_レベルアップ2_チキ: あら、また少し\n強くなれたのね。
MID_レベルアップ3_チキ: ふふ、この感じ、\nなんだか懐かしい…。
MID_レベルアップ4_チキ: 守るわ…英雄たちが\n愛したこの世界を…。
MID_クラスチェンジ_チキ: これからも、\n一緒に戦うわね。
MID_カンスト_チキ: わたし、強くなりすぎ\nちゃったみたい。
MID_レベルアップ1_インバース: ごめんなさいねぇ。\nがっかりしちゃった？
MID_レベルアップ2_インバース: うふふ…少しだけ\n強くなれたわぁ。
MID_レベルアップ3_インバース: あら嫌だ…。\nどこ見てるのぉ？
MID_レベルアップ4_インバース: 圧倒的な力って…\n快感よねぇ…。
MID_クラスチェンジ_インバース: うふふ。\n何見てるのかしら？
MID_カンスト_インバース: うふふ。育ちすぎて\n胸がきついわ…
MID_レベルアップ1_フラヴィア: なんだい！　もう少し\n上がると思ったよ！
MID_レベルアップ2_フラヴィア: 強くなるのは\n気分がいいねぇ！
MID_レベルアップ3_フラヴィア: 私もまだまだ\nいけるもんだねぇ！
MID_レベルアップ4_フラヴィア: 死にたい奴は\nかかってきな！
MID_クラスチェンジ_フラヴィア: 若返ったような\n妙な気分さね。
MID_カンスト_フラヴィア: こんだけ鍛えると、さすがに\nもうあんまり伸びないね。
MID_レベルアップ1_エメリナ: あまり…かわらない。\n…ごめん、ね。
MID_レベルアップ2_エメリナ: つよく…なれた。\nうれ…しい…。
MID_レベルアップ3_エメリナ: もっと…がんばる。\nみんなを…まもる。
MID_レベルアップ4_エメリナ: もう…守られるのは、\nいや、だから…。
MID_クラスチェンジ_エメリナ: これが…\nほんとうの…わたし…？
MID_カンスト_エメリナ: いつの間にか…\nこんなに…
